,ind,name,review,lda,lda-result-cosine,lda-result-euclide
0,0.0,60 Seconds! Atomic Adventure, 한글 옵션 가서 변경하면 잘 번역되어있고 영상 보기만 하고 폰으로 시작해서 조작감 힘들지만 적응하면 될 거 같고 자주 할 것도 아닌데 할인했을 때 구매해서 과자 한 봉지 값 보다 싸게 삼 2~3번 하면 질릴 수 있으나 심심할 때 하기 좋음 할인할 때 노려 구매하면 좋을 듯,"[0.087681785, 0.1464575, 0.10210782, 0.1141891, 0.32680693, 0.12645663, 0.09630021]","('Bloons TD 5',)","('Bloons TD 5',)"
1,1.0,60 Seconds! Atomic Adventure, 언어는 본인이 알아서 옵션 들어가서 바꿔야지 그게 기본 중에 기본이잖아요 그런 것도 못하면 게임을 하지 마세요 본인 무식한 거 자랑하고 싶은 건가요? 조작감은 이해하지만 언어 못 바꿔서 1점 주는 건 진짜 노. 이. 해. 다 언어가 영어로 뭔지 모르는 건가? 아무리 영 알 못 이어도 기초적인 건 대부분 알 텐데 ㅋㅋ 진짜 비정상인들 많다,"[0.10335688, 0.113925554, 0.18207876, 0.24079247, 0.14394781, 0.13671051, 0.07918805]","('Bloons TD 5',)","('Bloons TD 5',)"
2,2.0,60 Seconds! Atomic Adventure, 조작감 구린 거 빼고는 다 만족합니다. 그리고 한국어 안된다 하시는 분들 그 옵션 같은 거 찾아보시고 영어에서 한국어로 바꾸세요.... 조금만 찾아보면 금방 나옵니다,"[0.0881637, 0.13885564, 0.18608157, 0.11707971, 0.19394712, 0.18241799, 0.09345428]","('Bloons TD 5',)","('Bloons TD 5',)"
3,3.0,60 Seconds! Atomic Adventure, 제가 꼭 해보고 싶었던 게임인데 이렇게 할 수 있어서 좋네요!! 좀 비싸서 고민하고 있었는데 할인이 돼서 한 번 사 봤는데 재밌네요!!,"[0.09642367, 0.15284516, 0.14888889, 0.090100855, 0.24678302, 0.16245906, 0.102499366]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
4,4.0,60 Seconds! Atomic Adventure, 저는 이 게임이 꿀 잼입니다만 총이나 기타 같은 걸로 밖에 탐사하러나가서 몬스터나 군인들 을 공격할 수 있었으면 좋을 것 같아요,"[0.13109015, 0.13047335, 0.12744786, 0.08901197, 0.2459848, 0.1577294, 0.11826249]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
5,5.0,60 Seconds! Atomic Adventure, 한국어 안된다는 분들 설정 가서 찾고 말하세요ᄒᄒᄒᄒ 설마 못 찾는 호구 없제?ㅋㅋㅋㅋ 난 바로 찾아서 즐겜인데ㅎ,"[0.19210725, 0.14354458, 0.15555388, 0.08443833, 0.17916174, 0.13438238, 0.11081184]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
6,6.0,60 Seconds! Atomic Adventure, 님들이 한국어 못 바꾸는 건 대 왜 풀 발함 내가 영어는 못 읽어도 그 정도는 바꾼다 개발자님 욕하지 말고 너 자신부터 봐라,"[0.08748204, 0.13750091, 0.18336156, 0.08178205, 0.28681296, 0.13031393, 0.09274658]","('Angry Birds Classic',)","('Angry Birds Classic',)"
7,7.0,60 Seconds! Atomic Adventure, 꿀잼ㅠㅠㅠㅠㅠ다만 한글 번역이 완벽하지 못한지 가끔 스크립트가 중국어로 나오는게있어요ㅎㅎ,"[0.09924415, 0.13617596, 0.13328008, 0.092826724, 0.19412583, 0.14685942, 0.19748782]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
8,8.0,60 Seconds! Atomic Adventure, 와 지금까지 해본 게임 중에서 최고다.....ㄷㄷ,"[0.105972275, 0.14816591, 0.14381568, 0.09902319, 0.2316345, 0.15873794, 0.11265053]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
9,9.0,60 Seconds! Atomic Adventure, 한글 찾으시는 분들은 옵션 → 랭귀지에 보면 잉글리시라고 되어있는데 화살표 오지게 눌러서 한국어로 설정하시면 됩니다.,"[0.11220796, 0.12803969, 0.1944895, 0.12407692, 0.18344852, 0.15773563, 0.10000181]","('Bubble Shooter',)","('Bubble Shooter',)"
10,274.0,Age of Civilizations II, I got this game oh yyyyyyy your the best game maker in the world,"[0.081987746, 0.31232083, 0.111176156, 0.0919605, 0.19274119, 0.12269823, 0.0871153]","('Angry Birds Classic',)","('Angry Birds Classic',)"
11,275.0,Age of Civilizations II, 많은 업데이트 부탁합니다,"[0.116558924, 0.19237341, 0.13325971, 0.09175652, 0.21458231, 0.14708641, 0.104382716]","('Angry Birds Rio',)","('Angry Birds Rio',)"
12,276.0,Age of Civilizations II, Very very nice Łukasz,"[0.09500355, 0.13119434, 0.18345839, 0.08879827, 0.25771055, 0.14219947, 0.10163545]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
13,277.0,Age of Civilizations II, It's very good.,"[0.10002908, 0.13985403, 0.13574894, 0.093469806, 0.2560275, 0.16853844, 0.10633224]","('Bubble Shooter',)","('Bubble Shooter',)"
14,278.0,Age of Civilizations II, 드디어 나왔구나,"[0.094903715, 0.13258305, 0.18193382, 0.088684, 0.24121146, 0.15982482, 0.100859135]","('Bubble Shooter',)","('Bubble Shooter',)"
15,279.0,Age of Civilizations II, 띵겜,"[0.09642087, 0.13480963, 0.18493481, 0.10812793, 0.21075483, 0.16245517, 0.10249675]","('Angry Birds Classic',)","('Angry Birds Classic',)"
16,280.0,Age of Civilizations II, I love Poland.,"[0.13088545, 0.16722937, 0.12855557, 0.106854595, 0.20610647, 0.15944937, 0.10091919]","('Angry Birds Rio',)","('Angry Birds Rio',)"
17,281.0,Age of Civilizations II, Best,"[0.10540428, 0.1465329, 0.14258596, 0.09851364, 0.21815664, 0.17695923, 0.11184735]","('Bloons TD 5',)","('Bloons TD 5',)"
18,282.0,Age of Civilizations II, 좋아요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
19,283.0,Age of Civilizations II, 내가 게임을 돈 주고 사게 될 줄이야 근데 다 좋은데 인터페이스가 모바일에 부적합함.. 어느 정돈 고쳐야 할 듯 불편함 조금,"[0.10310556, 0.14134036, 0.19579928, 0.09643928, 0.20190485, 0.15249307, 0.108917594]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
20,311.0,Angry Birds Classic, 재밌고 즐겁습니다.,"[0.10002533, 0.15855806, 0.1357449, 0.112173274, 0.2186362, 0.16853347, 0.106328756]","('Angry Birds Classic',)","('Angry Birds Classic',)"
21,312.0,Angry Birds Classic, 꿀 잼,"[0.107220635, 0.14689033, 0.14386429, 0.12046163, 0.20980874, 0.15849999, 0.11325439]","('Angry Birds Classic',)","('Angry Birds Classic',)"
22,313.0,Angry Birds Classic, 매우 좋음,"[0.108115435, 0.15116219, 0.14672406, 0.10102582, 0.19587888, 0.18216492, 0.1149287]","('Cluedo',)","('Cluedo',)"
23,314.0,Angry Birds Classic, 광고 없는 유료화를 해 주세요. 돈 내고 다 원할 생각 있음.,"[0.10918264, 0.1520617, 0.16064541, 0.10204365, 0.19700661, 0.16313687, 0.11592311]","('Block Puzzle',)","('Block Puzzle',)"
24,315.0,Angry Birds Classic, 굿,"[0.13663027, 0.13995992, 0.17333186, 0.0935891, 0.18135819, 0.16868167, 0.106449]","('Age of Civilizations II',)","('Age of Civilizations II',)"
25,316.0,Angry Birds Classic, 앵그리버드 게임 시리즈 엄청 잘 만든 것 같아요. 왜나하면 앵그리버드 게임 시리즈 다 재미있어요. 새로운 앵그리버드 게임도 기대할게요.,"[0.10660231, 0.14753522, 0.18352523, 0.099663295, 0.19108167, 0.15863177, 0.112960495]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
26,317.0,Angry Birds Classic, 너무 재밌습니다. 웃기기도 하고요.. 대박 나세요!!,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
27,318.0,Angry Birds Classic, 완전 재미있어요♥아이들한테 재미있는 게임이에요,"[0.10811539, 0.15116213, 0.14672403, 0.10102578, 0.19587885, 0.16194807, 0.13514578]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
28,319.0,Angry Birds Classic, 추억이네요 유치원 때 유행했었는데,"[0.10812408, 0.17132609, 0.14673322, 0.10103406, 0.19588804, 0.16195774, 0.11493676]","('Angry Birds Rio',)","('Angry Birds Rio',)"
29,320.0,Angry Birds Classic, 제작자님 다음 맵으로 어떻게 넘어가요 시비,"[0.108785994, 0.17066267, 0.14677839, 0.10170721, 0.19494395, 0.1618558, 0.11526597]","('Angry Birds Classic',)","('Angry Birds Classic',)"
30,839.0,Angry Birds Rio, 와 너무 추억인데 게임이 변한 게 없어서 진짜 좋았다,"[0.10609524, 0.14826995, 0.14394611, 0.099140495, 0.19212669, 0.19765621, 0.112765275]","('Block Puzzle',)","('Block Puzzle',)"
31,840.0,Angry Birds Rio, 중독성,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Block Puzzle',)","('Block Puzzle',)"
32,841.0,Angry Birds Rio, 재미이는 디 요새로운 것 좀 넣어서 하쇼. 근데 광고없으면안되남?업데이좀하슈,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
33,842.0,Angry Birds Rio, 똥 뱃살 싸지 마,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
34,843.0,Angry Birds Rio, 좋아요ㅎㅎ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
