,name,review,lda-result-cosine,lda-result-euclide
0,60 Seconds! Atomic Adventure, 한글 옵션 가서 변경하면 잘 번역되어있고 영상 보기만 하고 폰으로 시작해서 조작감 힘들지만 적응하면 될 거 같고 자주 할 것도 아닌데 할인했을 때 구매해서 과자 한 봉지 값 보다 싸게 삼 2~3번 하면 질릴 수 있으나 심심할 때 하기 좋음 할인할 때 노려 구매하면 좋을 듯,"('Bloons TD 5',)","('Bloons TD 5',)"
1,60 Seconds! Atomic Adventure, 언어는 본인이 알아서 옵션 들어가서 바꿔야지 그게 기본 중에 기본이잖아요 그런 것도 못하면 게임을 하지 마세요 본인 무식한 거 자랑하고 싶은 건가요? 조작감은 이해하지만 언어 못 바꿔서 1점 주는 건 진짜 노. 이. 해. 다 언어가 영어로 뭔지 모르는 건가? 아무리 영 알 못 이어도 기초적인 건 대부분 알 텐데 ㅋㅋ 진짜 비정상인들 많다,"('Bloons TD 5',)","('Bloons TD 5',)"
2,60 Seconds! Atomic Adventure, 조작감 구린 거 빼고는 다 만족합니다. 그리고 한국어 안된다 하시는 분들 그 옵션 같은 거 찾아보시고 영어에서 한국어로 바꾸세요.... 조금만 찾아보면 금방 나옵니다,"('Bloons TD 5',)","('Bloons TD 5',)"
3,60 Seconds! Atomic Adventure, 제가 꼭 해보고 싶었던 게임인데 이렇게 할 수 있어서 좋네요!! 좀 비싸서 고민하고 있었는데 할인이 돼서 한 번 사 봤는데 재밌네요!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
4,60 Seconds! Atomic Adventure, 저는 이 게임이 꿀 잼입니다만 총이나 기타 같은 걸로 밖에 탐사하러나가서 몬스터나 군인들 을 공격할 수 있었으면 좋을 것 같아요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
5,60 Seconds! Atomic Adventure, 한국어 안된다는 분들 설정 가서 찾고 말하세요ᄒᄒᄒᄒ 설마 못 찾는 호구 없제?ㅋㅋㅋㅋ 난 바로 찾아서 즐겜인데ㅎ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
6,60 Seconds! Atomic Adventure, 님들이 한국어 못 바꾸는 건 대 왜 풀 발함 내가 영어는 못 읽어도 그 정도는 바꾼다 개발자님 욕하지 말고 너 자신부터 봐라,"('Angry Birds Classic',)","('Angry Birds Classic',)"
7,60 Seconds! Atomic Adventure, 꿀잼ㅠㅠㅠㅠㅠ다만 한글 번역이 완벽하지 못한지 가끔 스크립트가 중국어로 나오는게있어요ㅎㅎ,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
8,60 Seconds! Atomic Adventure, 와 지금까지 해본 게임 중에서 최고다.....ㄷㄷ,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
9,60 Seconds! Atomic Adventure, 한글 찾으시는 분들은 옵션 → 랭귀지에 보면 잉글리시라고 되어있는데 화살표 오지게 눌러서 한국어로 설정하시면 됩니다.,"('Bubble Shooter',)","('Bubble Shooter',)"
10,Age of Civilizations II, I got this game oh yyyyyyy your the best game maker in the world,"('Angry Birds Classic',)","('Angry Birds Classic',)"
11,Age of Civilizations II, 많은 업데이트 부탁합니다,"('Angry Birds Rio',)","('Angry Birds Rio',)"
12,Age of Civilizations II, Very very nice Łukasz,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
13,Age of Civilizations II, It's very good.,"('Bubble Shooter',)","('Bubble Shooter',)"
14,Age of Civilizations II, 드디어 나왔구나,"('Bubble Shooter',)","('Bubble Shooter',)"
15,Age of Civilizations II, 띵겜,"('Angry Birds Classic',)","('Angry Birds Classic',)"
16,Age of Civilizations II, I love Poland.,"('Angry Birds Rio',)","('Angry Birds Rio',)"
17,Age of Civilizations II, Best,"('Bloons TD 5',)","('Bloons TD 5',)"
18,Age of Civilizations II, 좋아요,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
19,Age of Civilizations II, 내가 게임을 돈 주고 사게 될 줄이야 근데 다 좋은데 인터페이스가 모바일에 부적합함.. 어느 정돈 고쳐야 할 듯 불편함 조금,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
20,Angry Birds Classic, 재밌고 즐겁습니다.,"('Angry Birds Classic',)","('Angry Birds Classic',)"
21,Angry Birds Classic, 꿀 잼,"('Angry Birds Classic',)","('Angry Birds Classic',)"
22,Angry Birds Classic, 매우 좋음,"('Cluedo',)","('Cluedo',)"
23,Angry Birds Classic, 광고 없는 유료화를 해 주세요. 돈 내고 다 원할 생각 있음.,"('Block Puzzle',)","('Block Puzzle',)"
24,Angry Birds Classic, 굿,"('Age of Civilizations II',)","('Age of Civilizations II',)"
25,Angry Birds Classic, 앵그리버드 게임 시리즈 엄청 잘 만든 것 같아요. 왜나하면 앵그리버드 게임 시리즈 다 재미있어요. 새로운 앵그리버드 게임도 기대할게요.,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
26,Angry Birds Classic, 너무 재밌습니다. 웃기기도 하고요.. 대박 나세요!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
27,Angry Birds Classic, 완전 재미있어요♥아이들한테 재미있는 게임이에요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
28,Angry Birds Classic, 추억이네요 유치원 때 유행했었는데,"('Angry Birds Rio',)","('Angry Birds Rio',)"
29,Angry Birds Classic, 제작자님 다음 맵으로 어떻게 넘어가요 시비,"('Angry Birds Classic',)","('Angry Birds Classic',)"
30,Angry Birds Rio, 와 너무 추억인데 게임이 변한 게 없어서 진짜 좋았다,"('Block Puzzle',)","('Block Puzzle',)"
31,Angry Birds Rio, 중독성,"('Block Puzzle',)","('Block Puzzle',)"
32,Angry Birds Rio, 재미이는 디 요새로운 것 좀 넣어서 하쇼. 근데 광고없으면안되남?업데이좀하슈,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
33,Angry Birds Rio, 똥 뱃살 싸지 마,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
34,Angry Birds Rio, 좋아요ㅎㅎ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
35,Angry Birds Rio, 최고의 추억 팔이(그래픽이 바뀌었군...),"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
36,Angry Birds Rio, Good,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
37,Angry Birds Rio, 크 언제 해도 재미있는 추억의 게임 앵그리버드 다께서 스타워즈 해보려고요 ᄏᄏᄏ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
38,Angry Birds Rio, 서정하가 많이 좋아했던 앵그리버드,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
39,Angry Birds Rio, 이세이  님  어이없음. 난  광고  하니도  않나 오더    만. 님  이  게임을  못해서  그러겠지. 난  재미만  있음.ㅋ   다른  종류  게임들이  많아서  좋음. 정말  짱짱  최고의  게임.!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
40,Assassin's Creed Rebellion, 오래간만에 핸드폰에 게임 깔고 지우지 않고 해나갑니다! 지루하지 않고 재미있어요!! ㅋㅋㅋ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
41,Assassin's Creed Rebellion, 턴제에 아기자기한 어크라니 참신하네요,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
42,Assassin's Creed Rebellion, 아기자기하면서도 케릭 육성과 전략 턴 게임의 특성을 잘 표현해서 즐길 거리가 많은 게임입니다.,"('Bubble Shooter',)","('Bubble Shooter',)"
43,Assassin's Creed Rebellion, 재미있고 쉬우면서 계속하게됨ㅋㅋ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
44,Assassin's Creed Rebellion, 나름 원작 느낌을 살렸네요 본부 메인 노래는 에지오 패밀리 스스 ost 넣어서 어쌔신 크리드 2느낌이네요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
45,Assassin's Creed Rebellion, 한국 서버 공개 커뮤니티 하나 운영해주세요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
46,Assassin's Creed Rebellion, Good Game!,"('Angry Birds Classic',)","('Angry Birds Classic',)"
47,Assassin's Creed Rebellion, 제미이어요,"('Cluedo',)","('Cluedo',)"
48,Assassin's Creed Rebellion, So lovely~,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
49,Assassin's Creed Rebellion, 젬있네요 ㅋㅋㅋㅋ,"('Angry Birds Classic',)","('Angry Birds Classic',)"
50,Block Puzzle, 짱!,"('Age of Civilizations II',)","('Age of Civilizations II',)"
