,5,2018년 12월 4일, 턴방식의 어드벤처 게임을 섞어놓은 참으로 신기한 형태의 게임입니다. 장비와 본부를 업그레이드하면서 모험을 하는 재미가 쏠쏠합니다.주변 사물을 이용한 어쎄신의 공격은 나중에는 단조로와질지 모르겠으나 초반엔 참 신기합니다.
0,5,2018년 12월 4일, 간만에 헨드폰에게임깔고지우지않고해나갑니다! 지루하지않고재미있어요!!ㅋㅋㅋ
1,5,2018년 12월 4일, 턴제에 아기자기한 어크라니 참신하네요
2,5,2018년 12월 5일, 아기자기 하면서도 케릭육성과 전략턴게임의 특성을 잘 표현해서 즐길거리가 많은 게임입니다.
3,5,2018년 12월 4일, 재미있고 쉬우면서 계속하게됨ㅋㅋ
4,5,2018년 12월 4일, 나름 원작 느낌을 살렷네요 본부 메인 노래는 에지오 패밀리스 ost 넣어서 어쌔신크리드2느낌이네요
5,5,2018년 12월 5일, 한국서버 공개 커뮤니티 하나 운영해주세요
6,5,2018년 12월 5일, Good Game!
7,5,2018년 12월 5일, 제미잇어요
8,5,2018년 12월 5일, So lovely~
9,5,2018년 12월 4일, 젬있네요 ㅋㅋㅋㅋ
