,5,2016년 10월 25일,너무하네요 이건 법적으로 금지해야합니다. 중독성이 너무 심하네요. 근데 확실히 직관성이나 가독성은 이전 버전이 더 나았던 것 같기도하네요. 그래도 이전 버전에서 자주 발생하던 게임이 갑자기 멈추는 오류는 잡으신 거 같아서 5점 드립니다.
0,3,2016년 10월 5일,재밌음 재밌음. 전반적으로 1이랑 큰 차이는 없는듯. 렉이라던가 팅김 가끔 있음. 외교화면에서 플레이어 이외 4개문명은 서로 본 적도 없다며 절레절레거림.. 늬들은 방구석에만 있니 뭐니...
1,4,2016년 8월 19일,이거구입하고 나선 안그랬는데 랙이 자꾸 걸리네요 정말재밌고  시간날때마다하는데랙이걸려요 그래서 별 4개 .. 입니다 1이더 좋았다 하시는분 있으으시길래1은 안해봤지만 저는 꽤 좋다고 생각해요 (랙만 아니면...)  혹시 제폰이 이상한걸까요?
2,1,2016년 2월 6일,이럴거면 버전업 왜했나 시나리오나 추가하지.. 직관적이지도 않고 지저분함만 늘려놨음. 이전 버전 그냥두지 그래픽만 바꿔 돈벌려고 짜증만 나게 해놨음.. 좋아하는게임 망쳐놔서 기분 매우 않좋네요
3,4,2017년 10월 10일, 가끔씩 도시탭을 눌러도 기술창이나 유닛창이 안뜸.. 그럴때마다 다시시작하긴하는데 조금 불편해요 이거빼곤 게임성은 👍👍
4,2,2017년 2월 12일," 분명 문명의 독특한 재미를 지닌 수작. 허나 제일 중요한 외교부분에서 이간질이 안되고, 동맹후 한곳을 치는것도 안되며,심지어 지네끼린 전혀 관심도 없고 못만났다며 플레이어만 다구리 치는,문명의 제일 핵심적인 부분인 그 외교에 아주 크나큰 결점이 있는 문명 계보에 들기 민망한 작품이다."
5,1,2016년 9월 7일,튕김현상 갤노트7 유저 입니다 게임시작후 중반쯤 되었을때 튕김현상 일어나고 그후 계속 반복된니다 더이상 게임 하고싶지 않네요 환불해주시기 바랍니다
6,4,2016년 9월 5일,버그인지  오류인지 시나리오 평화협정하고있는데 왜 컴퓨터가 전쟁거는거죠 ㅡㅡ 스파이짓도안했고 먼저 시비도안걸었는대 지혼자 선전포고없이 도시뺏고
7,2,2018년 6월 12일, 환불해 주세요. 다운받고 설치까지 했는데 게임실행이 잘 안되요. 결제하고 10분도 안됐어요 ㅠㅠ 왜이래요 ㅠ 환불 부탁드립니다
8,2,2015년 12월 21일,"Not worth your time and money. Im a long time civilization series fan and this mobile version purchase was big excitement to me. But I didnt even like first 10 minutes into the game and now I am into about 10 hours into the game, I find myself not coming back to this game anymore. This just is not well thought out game. The world...전체 리뷰Im a long time civilization series fan and this mobile version purchase was big excitement to me. But I didnt even like first 10 minutes into the game and now I am into about 10 hours into the game, I find myself not coming back to this game anymore. This just is not well thought out game. The world is plastic like and unreal, units are silly, game play is shallow. And those are very very bad signs for civilization game. Only reason I give 2 star and not 1 is because my love for the series."
9,1,2016년 1월 24일,베가 아이언 2 유저인데 외교가 안 되네요 이간질 시키려고 해도 2002 a.d가 되어도 못 만나 봤다고 하는게 말이 된다고 생각하는 거에요!!!?
