,1,2018년 11월 23일, 시작할려면 터치를하라고 나오면서 터치가 안되가지고 게임을 시작할 수가 없고 다른 부분들도 터치가 안되서 오류인 줄 알고 삭제했다가 다시 깔았는데도 똑같습니다.
0,1,2018년 12월 1일, 나갔다가 들어와도 안되고 휴대폰을 껐다 켜도 안되요ㅠㅠㅠㅠ 왜 이러는거죠?? 모든곳을 다 터치해봐도 시작이 안되요ㅠㅠㅠ
1,1,2018년 11월 28일, 아닛 세상에!터치도 안되고 자꾸 이상한 화면만 뜨고...아니 진짜 속상해요ㅠㅠ.
2,1,2018년 12월 1일, 아니 눌러져여지하든말든하지 일 안하냐? 회사만해라 너네앱 지워 고객이 장난같나
3,1,2018년 11월 24일, 뭐가 눌러져야 하든 말든 하지 처 되지도 않고 뭘하라는거야ㅋㅋㅋㅋㅋㅋ
4,1,2018년 11월 23일, 시작이 되야 하지 터치도 안되고 어쩌란건지 ㅋㅋ
5,1,2018년 12월 2일, 색맹은 게임 못하는 망할 게임
6,1,2018년 12월 4일, 광고를 적당히 넣어야 하든지 말든지 하지 ㅋㅋ 돈 떨어졌냐
7,1,2018년 11월 27일, 터치를 해야지 게임을 하던말든 하는데 터치가 안되면 그냥 게임하지 말라는거 아닌가요? 다시 깔아도 터치는 안되요
8,1,2018년 11월 26일, 시작이 안되잖아
9,1,2018년 12월 1일, 조종이 되질 않아
