,5,2018년 4월 8일, 진짜 이건돈을내도 후회안해요 진짜로 진짜로 이거 너무재미있어요 진짜 추천 짱짱 진짜 이거 어쩌다가 재미있을것 같아서 부모늠 졸라서 샀는데 후회안해요 진짜 부모님도 잘샀네~이러고 오빠도 부모님께 졸라서 샀는데 너무 재미있어요 이거 진짜 추천드려요
0,5,2018년 5월 13일, 실제하고 룰이 조금 다른거 같지만 재밌습니다.
1,5,2018년 7월 2일, I wish there was option for selecting long game and short game
2,5,2018년 4월 29일, JACKANOPE! code available?
3,5,2017년 12월 29일, 튜토리얼조차 거의 필요없을정도로 쉽고 재밋음 영어도 필요없음 눈치 운 블러핑 카운팅이 들어간 폭탄돌리기 게임 슬랩이 적혀있는 횟수만큼 상대턴만드는 카드 그외엔 딱보면 뭔지알거임
4,5,2018년 3월 6일, fun filled explodin kitties! hope it's future has some leveling or achievement aspects
5,5,2018년 2월 14일, Great game to play with great people.
6,5,2017년 9월 8일, 간단하고 재밌는듯
7,5,2017년 5월 5일, 핵.꿀.잼
8,5,2017년 3월 8일, 베스트Best
9,5,2016년 7월 7일,중학교영어만하면 금방익힙니다 꿀잼 보드게임입니다 오직온라인만가능
