,5,2018년 12월 4일," 현금▷카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버37841이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
0,5,2018년 12월 3일, 멈 재미있고 나 숨은 그림 찾기 돼개 잘함
1,5,2018년 12월 3일, 다좋은데 사진이 너무 작음
2,5,2018년 11월 28일, 재밌다. 재밌다.
3,4,2018년 12월 4일, Gghujjjjb
4,5,2018년 12월 3일," 현금카▷지노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버813이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
5,1,2018년 11월 23일, 아니ㅋ 지하철에서 폰겜하고있는데 갑자기 사운드로 광고나오면 어쩌자는겁니까...?하..ㅋ 광고보기싫어서 다운하고 방치햇더니 또 나오고ㅋㅋ 하..이상한 광고 말고 제대로 된 광고로 광고하세요
6,1,2018년 12월 3일, 이게 잼있다는사람 뭐지? 해보니깐 틀린그림찾기 한판때리고 광고하나보고.. 와..광고보라고 만든겜인가ㅡㅡ 그냥 삭제누를려다가 쓴다 정도껏 광고때려야지 개짱나네
7,5,2018년 11월 21일, 돈을 모아서 어디에 쓰는 건지 도저히 모르겠어요ㅠㅠㅠ 나머지는 정말 좋고 재밌어요ㅎㅎㅎ
8,1,2018년 12월 3일," 힌트를 써서 틀린곳을 알게 되었는데, 어디가 다른건지 모르겠어요."
9,4,2018년 11월 23일, 틀린그림찾기가 노래와 함께있어서 그런가 게임하면서 뭔가 스릴감있었어요
