,5,2015년 5월 13일,심장쫄깃 이야 점말 재밌네요 ㅎㅎ 이거 기분 탓인지 모르겠는데 배터리가 빨이달아서 더 심장 쫄깃하네요 아! 저요 이상한거 봤어요 거기 cam2B 에서 프레디 사진에서 프레디가 막 꺽여 있었어요
0,5,2015년 7월 27일,별 ☆☆☆☆☆ 이게임 공포라서 감툭튀는데...제밌네여~별☆☆☆☆☆개!!!베터리 1퍼에서 6시 ㅋㅋㅋ----수정----   프레디 버그판 해봤는데 1버그판 사기. 기능 : 인형들 위치 알 려 주 고... 배터리 무 제 한!(프레디 버그판 2.3 도있음  프레디 2 랑 3 버그판 은 별3개로 다 깨져있음 하고싶으면...네이버에서 깔아보삼)
1,5,2015년 4월 3일,다 재미있는데.... 갑자기 게임시작할때마다 게임이 에러뜨면서 꺼져요. 다 깨서 별 세개 얻었었는데 삭제했다 다시깔아보고 하니까 데이터도 사라지고.... 제발좀 고쳐주세요...
2,5,2018년 3월 5일," 이야~! 굿굿 근데 4일차 에서 너무 폭시가 잘움직어요 그리고 프레디 올때 울음소리 몇번 울리나요? 5일밤에서 자꾸 죽어서 그리고 스콧님 보니,치카 너무 빨라요 5초씩 자꾸 움직이고 그래도 정말 재미있습니다 그리고 폭시가 5일밤 보니부터 움직이면 잘 안움직여요 스콧님 👍근데 5일밤 은 너무 어려워요"
3,5,2015년 5월 1일,역시다르다 프레디의 피자가게 제작자와 이컨텐츠를 만든모든분들께 감사합니다역시 프레디는 ㅅㅅ 말로표현할수가없네ㅎㅎ
4,5,2016년 4월 26일, 와저5일밤까지왔는데5일밤장난아니게어렵네요.ㅋㅋ별☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆그리고※보니는토끼여서속도가빠릅니다그레서한2B번카메라에있다가사라지면문을꼭닫아주시고        !※5일밤이나뭐다른밤 은하하자마자바로1C카메라를꼭보세요폭시가바로올때도있습니다.
5,5,2017년 3월 8일, 야 이거 재밌네요. 그런데 씨스터 로케이션 모바일판 언제 출시됬었나요?(저는 모릅니다.)이세은 님이 말한거 이스터에그에요.
6,1,2017년 12월 4일," 저기요 프레디,보니,치카인형 치트모드샀는데 증발됬습니다. 지금당장내노세요. 아예SHOP에 다시사라그럽니다. 내노세요. 아님 환불해주세요. 어쨌든 물어내세요."
7,5,2015년 9월 24일,"꿀잼 님들 저 커스텀나이츠까지 껬는데 애러가 안걸리고 완전쉽고 핵꿀잼 그리고 마지막 밤에 프레디1,보니9,치카8,폭시7레밸을 이렇게 하면  골든프레디 얼굴이 나오면서 게임이  꺼집니다."
8,5,2015년 12월 8일,하 드디어 삼... 그동안 엄마한데 사달라고 쪼르다가 안해줘서 빡챠서 기프트카드 삿짜남 ★★★ 무료판이랑 유투브에서 프레디 동영상많이 봣는데 !! 기대되네여 !!!!
9,5,2018년 3월 2일," 프레디를 잘 모르시는 분들께: 폭시는 주로 2일밤부터 출현합니다 프레디는 3일밤부터 출현합니다. 보니와 치카는 1일밤부터 출현합니다. 보니는 순간이동을 할 수 있어 카메라를 잘 보지 않으면 갑툭튀 당할 수 있습니다. 치카와 프레디는 순간이동할 수 없지만  가끔씩 둘이 함께 나타날 수 있습니다. 폭시는 pirate's cove에서 나오려고 하면 바로 문을 닫아야 합니다. 그리고 일정한 확률로 문을 긁는데, 긁을 때마다 배터리가 1%~30%까지 없어질 수 있습니다. 프레디 이야기: 프레디 1 게임은 프레디 2 게임의 후속이고, 프레디 ...전체 리뷰프레디를 잘 모르시는 분들께: 폭시는 주로 2일밤부터 출현합니다 프레디는 3일밤부터 출현합니다. 보니와 치카는 1일밤부터 출현합니다. 보니는 순간이동을 할 수 있어 카메라를 잘 보지 않으면 갑툭튀 당할 수 있습니다. 치카와 프레디는 순간이동할 수 없지만  가끔씩 둘이 함께 나타날 수 있습니다. 폭시는 pirate's cove에서 나오려고 하면 바로 문을 닫아야 합니다. 그리고 일정한 확률로 문을 긁는데, 긁을 때마다 배터리가 1%~30%까지 없어질 수 있습니다. 프레디 이야기: 프레디 1 게임은 프레디 2 게임의 후속이고, 프레디 1 이후에는 프레디 3입니다. 프레디 4는 프레디 2 이전인 1983년을 배경으로 되어고, 프레디 시스터 로케이션은 프레디 4 쯤인 것 같습니다 (아직 정확한 날짜는 모름) 시스터 로케이션은 기존 프레디 게임과는 전혀 연관이 없습니다.  프레디 1 게임은 경비원 (마이크 슈미츠) 가 애니마트로닉들을 감시하는 게임으로, 5일밤을 깨면 추가 2일밤을 할 수 있습니다. 추가 2일밤의 커스텀 모드를 하면 애니마트로닉들의 지능을 조작할 수 있습니다. 커스텀 모드를 깨면 해고당하게 되면서 게임이 끝납니다.  (지능을 왼쪽에서부터 1987으로 설정한 후 플레이하면 골든 프레디의 얼굴이 나오며 게임이 정지됩니다. 이럴 때에는 침착하시고 핸드폰의 배터리를 교체하시면 됩니다. )"
