,3,2018년 12월 2일, 재미인는대어렵워
0,1,2018년 11월 30일, 광고나오는건좋은데 넘길수없는광고가 한판한판사이계속나와요 게임이긴것도아니고 이게뭐하는건지 광고게임 요즘심하네요
1,5,2018년 12월 2일, 너무 재미있어서 다깨버렸엉!!!!
2,1,2018년 11월 24일, 뭐만하면 강제적인 광고 시청하게 만들어 놓은 최악의 어플. 게임자체는 재미있으나 무분별한 광고때문에 이 게임을 하는 이유가 사라짐
3,2,2018년 11월 23일, 프리 프라이즈 광고 안 꺼져요.... 그리고 돌림판 너무 느리구요 제발 프리 프라이즈 필요 없어요. 뜨지 않게 해주세요. 보실지는 모르겠지만 일단 보냅니다.
4,1,2018년 11월 27일, 게임하는중에도광고가나오네ㅋㅋ게임계의 혁명급
5,1,2018년 11월 24일, 괭고겜미친새 끼들이겜개극혐이다
6,1,2018년 11월 25일, 무슨 광고만 있냐? 광고보러 게임하는줄 아냐?
7,3,2018년 11월 24일, 아니...재밋는데 왜이렇게 중간에 끈켜요..
8,2,2018년 11월 24일, 이거 돌림판 돌리는거 필요없는데 스킵이 없어
9,5,2018년 11월 23일, 병맛의 기운이 ㅋㅋㅋ
