,5,2018년 12월 5일," 이 게임을 플레이하면서 울기도 하고 웃기도 하고 정말 뭉클한 시간을 보낼 수 있었습니다. 비주얼적으로도, 스토리로도, 사운드로도 너무나 완벽한 게임입니다. 상황을 녹여낸 듯한 퍼즐이 너무나 참신했습니다. 좋은 경험을 선사해주셔서 감사합니다. 다음 작품도 너무 기대되네요. I had a really hard time crying and laughing during the play time. Visual, story, and music...... It was perfect at all. The puzzle that seemed to m...전체 리뷰이 게임을 플레이하면서 울기도 하고 웃기도 하고 정말 뭉클한 시간을 보낼 수 있었습니다. 비주얼적으로도, 스토리로도, 사운드로도 너무나 완벽한 게임입니다. 상황을 녹여낸 듯한 퍼즐이 너무나 참신했습니다. 좋은 경험을 선사해주셔서 감사합니다. 다음 작품도 너무 기대되네요. I had a really hard time crying and laughing during the play time. Visual, story, and music...... It was perfect at all. The puzzle that seemed to melt the situation was so novel. Thank you for giving me a good experience. I look forward to the next one."
0,5,2018년 9월 26일, 짧지만 정말 강렬하네요 게임이라는 장르의 특성을 정말 잘 살린 한편의 영화 같았습니다 조작법이 무엇을 의미하는지 생각하면 하는 재미도 있었고 그 의미를 깨닫게 될 때마다 소름이 돋았습니다 음악도 분위기를 잘 살려준 것 같고 전체적으로 큰 여운이 남네요... 정말 재밌게 했습니다 감사합니다
1,5,2018년 10월 18일, 그래픽과 음악이 멋집니다. 캐릭터에 이입할 수 있는 플레이 방식이었습니다.
2,5,2018년 9월 28일, 기분이 좋아지는 게임이었다. 재밌었다라는 평가가 어울린다.
3,5,2018년 10월 4일, 실수로 구매했는데 환불해주세요 제발요
4,4,2018년 11월 3일, 남자주인공 뒷얘기도 궁금하네요. 감동적이예요.
5,4,2018년 9월 28일, 좀 짧아서 아쉽지만 재미있었어요 ㅎ
6,5,2018년 10월 23일, 미쳤다.. 짧지만 강한 게임이었어요.. 감사합니다 정말 돈이 아깝지 않네요.
7,4,2018년 11월 7일, 짧은것을 제외하면 모두 만족
8,5,2018년 10월 7일, Short but memorable
9,5,2018년 10월 5일, 정말 아름다운 감상이였습니다
