,3,2018년 9월 27일, 렉좀 고쳐주세요 제발 오렌지 직전이 가구들 많은곳에서 렉 엄청걸리고 마지막 우주 날아가기 전 송전탑 오르는것도 렉이 엄청 걸립니다. 무슨 컨트롤게임에 렉때문에 클리어를 못한다는게 말이 됩니까... 렉좀 없에주십시오. 폰을 리셋해도 렉이 계속 걸립니다...
0,5,2018년 11월 19일, 짜증나게 구는 사람이 있다면 웃는얼굴로 그사람에게 이 게임을 선물해주는것을 추천. 6천원의 투자 가치가 있음. 당신이 받았던 짜증보다 더한 빡침을 그 사람에게 선물하는 격임. 고마워 남편 덕분에 참 재밌네^^^*
1,4,2018년 10월 8일, 갤럭시노트9 사용자입니다. 그래픽도 좋고 게임 플레이도 만족스러운데 중간중간 무게중심이 컨트롤을 잃고 한쪽 방향으로 무한대로 돌아갑니다. 끝까지 떨어져서 어딘가에 걸리거나 강제종료를 한 후 재시작해야지만 강제 컨트롤이 풀리네요. 한 두번은 내가 강종하고 다시하면 되려니 참고 계속했는데 여러번 반복되다보니 조작감 면에서 실망이 큽니다. 환불을 해주시거나 빠른 피드백 바랍니다.
2,4,2018년 6월 30일," 컴퓨터게임과 같은 퀄리티을 가지고 있지만 그래서 그런지 핸드폰으로 사용할때에 렉이 걸립니다. S9+사용중이고요. 등산 할때까지는 
괜찮았으나 그 이후 탑 오를때에는 렉 때문에 게임 진행이 힘들정도로 심합니다."
3,5,2018년 8월 9일, 님들아근데 이게임 설치하는데몇분걸림? 개발자님 답좀 그리고 재미는 있는데 중간에 랙걸린다... 그래서첨부터다시함 ㅠ
4,1,2018년 8월 1일," 환불부탁드립니다. 정식으로 돈을드리고 게임을 실행했지만 작동하지않고 중간에 꺼집니다. 아직 산지 48시간은 되지않았습니다. 최대한 빠른 
환불 부탁드립니다."
5,5,2018년 10월 25일, 정말 좋은데 마지막에 설산넘고 카트 넘기면 렉이걸려요.. 게임이 힘들정도..(하지만 6번 깨서 적응됬다는...
6,5,2018년 8월 6일, 역시 난이도 최고의 항아리 게임. 삭제해라 애송이가 절로 나온다. 조작은 어려워도 도전정신이 있다면 해보는 걸 추천
7,1,2018년 8월 30일, 처음살때만 만족하고 컨트롤 부터 별로임. 펜이식이 필요할거 같은데 이식을 시키던지 환불부탁.
8,5,2018년 7월 24일, 으아아ㅏㄱ 빡친다.. 중독성잇어서 하긴하는데 혈압오름ㅁㅋㅋ
9,1,2018년 11월 11일, s pen 으로 플레이할수있게 해주세요 ㅡㅡ 왜막아 둔건지 참.. 10분이상 못해요 손가락아파서
