,5,2018년 1월 14일, 와..  짱이닷 아니 제가 실수로 구입을 눌렀거든여?  근데 환불이 안돼서 어쩔수 없이 샀어요.. 그래서 엄빠한테  5600원 주고 플레이라도 해보자 재미 없기만해봐  이런 생각으로 플레이 했거든여 왕.. 쩐다 이런 병맛같으니
0,5,2018년 8월 1일," 엄청 재미있는데 예전에 있었던 그 많던 추억의 래그돌 NPC들은 다 어디간 거죠?......저번에 업데이트가 되면서 요즘에는 몇 
종류밖에 안 되는 래그돌 NPC밖에 없네요.........제발 예전의 NPC들도 다시 복원해 주세요......"
1,5,2018년 8월 12일," 안녕하세요 염소실뮬레이터를 산사람입니다오랜만에 염소시뮬레이터를켰는데 이게어떻게된 일이죠 저번에는 잘돼던게 검은화면에 영어가뜨는데 
플레이도 안돼고... 그래서그영어를 해석해보니 염소 시뮬레이터제콘텐츠다운로드자라고 만 뜨는데 이거 어떻하나요"
2,3,2018년 5월 26일," 저기 제가 몇달전에 이게임을 깔았어요 추억으로 한번 해볼려고 다시 깔아봤는데 앱이 깔리지안습니다 와이파이랑도 상관이 없고 폰 도 아무 
이상 없습니다 돈을 내고 깔았는데 이렇게 앱이 깔리지 안으니 허무하네요 그래서 어떻게 해야지 앱이 깔릴까요?"
3,5,2017년 10월 14일, 리뷰 단 사람들 뇌가 궁금하다 환불해달라고 할 수도 있는거지 지들도 몇천원 아까워서 친구들한테 안 사주는 인생이면서 ㅉ 그리고 다른앱 샀는데 실행 안되면 환불 해달라 하지마라 너네는
4,5,2017년 10월 6일, 환불해 달라는 녀석들은 머리가 있나 몇천원이 아까워서 환불을 해달라고 하네 그리고 게임 실행이 안 되는 것도 지들 폰이 꾸진거지 왜 게임탓을 할까 어쨋든 이 게임 최고임 ㅇㅇ
5,5,2017년 10월 7일, 내 생애 최고의 시뮬레이터 게임. 이 게임은 정신나간 맛에 하는거지ㅋㅋㅋㅋ
6,5,2018년 3월 1일, 제 폰이 이상해서 그런건지 모르겠지만 한번 플레이하고 나갔다가 다시 들어가면 화면이 이상하게 뜨더라고요..그래도 앱삭하고 다시 깔면 괜찮아 지고..허허..
7,5,2018년 4월 6일, 이게임 제작자는 마약을 얼마나 빤거야.... 너무병맛이잖아! 속마음:제밌으면됬지...하하하하하
8,3,2018년 2월 25일, 저 이게임결제된지도 모르다가 친구가 재미있대서 깔아보려고하니까 갑자기 결제가 되있대요 저 환불좀 해주시면 안돼나요...부탁드립니다
9,5,2018년 2월 21일, 이게임 가격 올랐네ㅋㅋ 예전에 구매해서 다행ㅎㅎ 암튼 제작자 넘 재밌자너ㅋㅋ
