,2,2018년 11월 25일, 아이가 잘못눌러서 결제를 했는데 당장 취소해 주세요..우리한테는 중요합니다
0,5,2018년 9월 24일, 꾸준한 업데이트 감사합니다. 차에 브레이크 등이 들어왔으면 좋을거 같고 차량의 속도도 알수 있었으면 좋겠습니다. 그리고 차량마다 계기판의 디자인도 달랐으면 좋겠습니다. 그런 디자인에 좀더 신경써주시면 좋겠습니다!!!
1,1,2018년 9월 26일, 결제를 하면 바로게임튕기게되며 바로 접속안됨 다시 깔고 구글아이디 재접속하면 결제했던 다이아 돈 다 사라져있음 이거 저번 버전에도 그랬는데 다시 문제 됨 내돈만 먹은 게임이 됨
2,5,2018년 10월 31일, 에 빨간 비행기같은차로 달리니깐 나무 잘깨지내요. 근데 너무 어려워요. 나무가잘깨졌으면 해요.
3,3,2018년 9월 7일, 8000원 결제하고 겜계속팅겨서 삭제하고 다시깔앗는데 환불좀
4,1,2018년 10월 17일, 견제하고 게임이안됨 뭐하는거지 환불헤주셈
5,4,2018년 9월 22일, 이거에 시간을 다소비하고있음
6,5,2018년 9월 26일, 악플러들아 니네가 못한다고는 생각안하니?
7,5,2018년 11월 9일, 저도예전에 이게임일했는데 재미있어어요.
8,1,2018년 10월 21일, 8000원짜리 아이템 결제후 게임 접속이 안됨 해결해주던가 환불해주세요
9,5,2018년 10월 1일, 오랜기간동안 사랑받은 이유가 있습니다 간단히 즐기기에도 재밌네요
