,4,2018년 12월 4일, 게임은 재밌는데 좀 렉이 걸려요ㅠㅠ 그리고 친구는 맵이 3개 뜨던데 저는 도시랑 해변밖에 안 나오고... 또 블루투스로 하는 모드도 안 뜨네요.
0,3,2018년 12월 5일, 렉인지... 화면이 잘안보이네요. 도시에서 할때 화면전체가 파란색이다가 구멍이커지면 정상으로... 특히 건물들 사이에 지나갈때 그런현상이 심합니다.
1,5,2018년 12월 2일, 진짜 재미있어요! 그런데 맵을 선택할수 있으면 좋겠네요 ㅎㅎ
2,5,2018년 11월 30일, 심심할때 좋아요 만렙찍었네요 맵 많이 있으면 좋겠어요 그리고 맵 선택 가능하게 해주실 수 있나요?
3,4,2018년 12월 1일," 맵이 해변이랑 도시밖에 안떠요ㅠㅜ 지인들은 미래의 도시도 뜨던데말이죠,,.."
4,1,2018년 12월 1일, 터치가 안돼요..시작도 못했네요..
5,2,2018년 12월 1일, 게임이 재밌긴한데 터치도 갑자가안되고 광고도 너무많이나오고 렉도 너무 심하네요
6,5,2018년 12월 4일, 앱 터치가안되네요 어떻게 처리좀 부탁드립니당
7,5,2018년 12월 1일," 왕!중독되면서,재밌어져!ㅎㅎ재작자 짱!!"
8,1,2018년 12월 4일," 3번이나 지웠다 깔아도 시작도 안되고,터치가 아예 안되네욥"
9,5,2018년 11월 29일, 넘나재밋어요!!!!!><
