,4,2018년 12월 7일, 777시리즈 속력이랑 연료효율좀 높여주세요 어떻게 787시리즈 보다 속도가 느리고 항속거리가 짧나요! 그리고 350시리즈랑 330neo시리즈도 가장빠른시일내에 조속히 출시해주시고 대한항공 787시리즈에 추가해주세요
0,5,2018년 12월 6일," Can you add airport buildings, cities and more to Infinite Flight? I would appreciate it if you could add it"
1,5,2018년 12월 6일," Hello, can I ask for Air Pohang livery for CRJ200? It is the only plane they have in their fleet."
2,5,2018년 12월 6일, I want to add to a A350^^
3,5,2018년 11월 29일, 게임은 진짜 좋아요. 근데 제가 다운 받을때 할인을 해서 공짜로 받고 들어갔는데 중간에 결제 하는게 또 있더군요. 그걸 무시하고 a380으로 KORD에서 EHAM으로 가는데 갑자기 화면 위쪽에 빨간 글씨가 뜨면서 갑자기 속력이 줄어들더군요. 어떻게 된거죠?
4,4,2018년 11월 24일," 제가 외국유튜버들이 이 게임을 해서 멀티플레이를 하고싶어서 이 게임을 구매했는데 돈을 주고 계속도 아니고 돈을 내고 몇달 동안만 멀티, 국제를 운행 하라 고 하니 더 어이가 없군요. 에어버스(AIR BUS)는 A320도 아니고 A321를 줘놓고 어쩌라는 겁니까? 멀티서버가 비싼것은 알고있습니다. 그런데 이건너무 심하네요. 그치고 제가 폰을 바꿨는데 게임 실행이 안돼네요..."
5,3,2018년 12월 2일, 어떻게 앱을 돈 주고 샀는데 멀티를 또 무제로 무료하면 인기가 많지 1년에 90000원??? pro 하라고 몇 ft 올라가면 속도가 막 줄어들고 이거 공항도 없고 비행기도 몇개 밖에 안 주고
6,5,2018년 11월 8일, 제가 세계여행 업데이트 전부터 했는데 정말 세계여행 업데이트까지 온게 대단하신것 같습니다. 앞으로 더 많은 기종과 도장들 그리고 전투기들 공항 여러가지 것들을 많이 개발해주셨으면 좋겠습니다. 앞으로도 응원하겠습니다!! 감사합니다~^^
7,1,2018년 11월 27일, 한국에 게임을 냈으면 한국어로 답변을 내세요. 멀티 기간제 무료라니.. 넥슨도 이게임싫어하겠다
8,4,2018년 11월 17일," I think this game is so good, and this company accepted my proposal. My proposal was """"make Cebu Pacific Airline's Skin."""" So I'm very thanks to you~^^ I was questions for some korean players, ""What is need for this game?"" and they said ""F-15E!!"" And i said, ""another need?"" And theh said ""Black Eagl...전체 리뷰I think this game is so good, and this company accepted my proposal. My proposal was """"make Cebu Pacific Airline's Skin."""" So I'm very thanks to you~^^ I was questions for some korean players, ""What is need for this game?"" and they said ""F-15E!!"" And i said, ""another need?"" And theh said ""Black Eagles Team skins!!"" So I request for Infinite Flight, Make F-15E with Black Eagles Team Skins. I believe you accept this proposal. Thank you for Infinite Flight~"
9,1,2018년 11월 26일, 이 게임을 돈주고 삿는데 비행기도 사야되고 심지어 밧심할려면 돈도 더내야되요? 아니 이 게임자체를 돈주고 샀는데 밧심은 무료로 안해주나요?
