,5,2018년 12월 6일," 유료타워나 영웅쓴다고 난이도가 확 쉬워지는 것도 아닌데 유료타워, 영웅없어서 난이도 어렵다고 한 애들은 전략게임에서 전략을 짜기는 하는거냐? 평소 양산형게임들처럼 자동누르면 알아서 타워설치되고 쉽게 클리어 될줄알았어? 유료타워나 영웅은 색다른 전략을 사용하고 싶은 사람들 이용하라고 만들어 논거지 그게 절대적인 것은 아니란다. 기본으로도 모든 난이도 클 가능하다. 아직도 게임을 생각없이 해놓고 실력이 오르길 원하는 사람들 되게 많네 ㅡㅡ"
0,5,2018년 12월 6일," 묘하게 이전 시리즈보다 타격감이 약해졌어요. 뭐라고 딱 집어서 말하긴 어려운데 킹덤러쉬 특유의 착 달라붙는 조작감같은게 덜 느껴져서 아쉽네요. 여타 타워디펜스보다 킹덤러쉬가 좋았던게 그 미묘한 조작감의 차이 때문이었는데...생각해보면 아이언마린도 같은 이유로 아쉬웠는데 그때쯤부터 뭔가 변했나 싶기도 하구요. 그래도 여전히 갓덤갓쉬라 재미는 있습니다. 다만 전작들이 워낙 갓갓이라 그런거죠. 아참, 그리고 유료타워는 없어도 플레이에 지장이 없었습니다."
1,2,2018년 12월 6일, 난이도 조절 실패같음. 방어+공격 동시에 가능한 타워가 늘면서 한가지 타워만으로 전 판 클리어 가능.. 굳이 아니더라도 출구쪽엔 유령타워 한개+박쥐 그 외 나머지 전부 활타워+독수리 이 두 종류 타워만 있으면 전 판 그냥 클리어 가능... 아니면 유령타워 1개+ 그외 나머지 아무타워 조합으로 가도 됨. 그냥 가능한 정도가 아니라 녹는 수준임.
2,4,2018년 12월 5일," 유료타워 전부 구매해서 사용해 봤는데, 딱히 기존 타워보다 좋다고 느껴지진 않습니다. 기존 타워로 조합해서 쓰는게 훨씬 좋아요. (딱히 특정 형태의 데미지를 요구하는 맵도 보이지 않았구요.)  또한 유료 타워를 제외하더라도 타워의 바리에이션이 더 넓어진 것이 장점이라 할 수 있습니다. 업그레이드도 모든 타워에 3종류 있고.  난이도가 높다고 징징대는 리뷰도 있는데 오히려 저는 난이도가 기존 작품보다 훨씬 낮아서 너무 빨리 컨텐츠가 소모되는 경향이 있어서 조금 아쉬웠습니다.   전례대로 추가 맵이 개방되거나 무한 모드가 나온다면 더 ...전체 리뷰유료타워 전부 구매해서 사용해 봤는데, 딱히 기존 타워보다 좋다고 느껴지진 않습니다. 기존 타워로 조합해서 쓰는게 훨씬 좋아요. (딱히 특정 형태의 데미지를 요구하는 맵도 보이지 않았구요.)  또한 유료 타워를 제외하더라도 타워의 바리에이션이 더 넓어진 것이 장점이라 할 수 있습니다. 업그레이드도 모든 타워에 3종류 있고.  난이도가 높다고 징징대는 리뷰도 있는데 오히려 저는 난이도가 기존 작품보다 훨씬 낮아서 너무 빨리 컨텐츠가 소모되는 경향이 있어서 조금 아쉬웠습니다.   전례대로 추가 맵이 개방되거나 무한 모드가 나온다면 더 만족스러울 것 같습니다."
3,5,2018년 12월 5일, 엔딩 후 추가 보스 같은건 없나요? 엔딩 보고나서도 숨겨진 보스 같은거 있으면 좋겠네요.
4,4,2018년 12월 6일, 킹덤러쉬 시리즈 전부 구입한 유저인데 이번 작품은 음악들으면서 할 수 있어서 너무 좋은듯 유료타워가 생긴건 유감임 돈미새까진 아니지만 조금 실망
5,5,2018년 12월 2일, 최고입니다 앞으로도 많은게임 제작부탁드립니다
6,3,2018년 12월 6일, 전편에 비해 기대가 좀 떨어져도 그냥 저냥 나쁘진 않네요
7,4,2018년 12월 2일, 다좋은데 타워까지 유료타워를 내놓는건 너무한거 아니오?
8,1,2018년 12월 4일, 뭐시 유료게임이 유료템이 이렇게 많어 ㅡㅡ 난이도도 유료템 기준으로 맞춰놨는지 예전이랑 다르게 아이템 안쓰고는 진행시킬 방도가 안보이는 수준이네;;;
9,5,2018년 12월 2일, 역시 믿고 하는 아이언하이드
