,3,2018년 11월 27일, 첨엔 재미있었는데 레벨이 올라갈수록 노트 펜으로그리는게 아닌이상 손으로 그리기도 불편하고 자꾸 버그가 생깁니다. 짜증!
0,1,2018년 11월 25일," 아니,,,,,,,게임하다가 자꾸 첨 화면으로 돌아가서 겁나 빡침,,,그래서 삭제ᆢ"
1,5,2018년 11월 24일, 여자랑남자가 뽀뽀를 해서 우에
2,5,2018년 11월 25일, 제가한게임중에서가장최고!입니다~~^^ 완전마이스타일^^
3,4,2018년 12월 4일, 재미있어요 근데 좀 어렵넹.
4,1,2018년 11월 24일, 이게임 바로 삭제 하세요
5,4,2018년 12월 1일, 재밌는데 질리네요
6,1,2018년 11월 29일," 해킹 당한것같아요 ,,"
7,5,2018년 11월 17일," 정말 인생 최고의 게임 TOP 3안에는 들어욥! 여러분들 리뷰 보시면서 다운로드 기다리시는 것도 좋을 것 같아서 장문으로 쓰려고 합니다!! 지금쯤이면 다 다운로드 되신 분들도 많으실텐데, 정말 후회하지 않으실거고요, 광고가 조금 많이 나오는데 광고는 와이파이나 데이터 끄시면 간단하게 하실 수 있습니다!! 좋은 하루 보내세요~^^"
8,5,2018년 11월 12일, 짱 재밌고 간편 하고 좋고 인기 많은 게임 이예요 이 게임 만든 사람이 주군지 몰라도 좋은 게임을 만들어 주셔서 감사합니다
9,5,2018년 11월 12일, ㅁㅊ님 양심없으심? 광고 개많음
