,1,2018년 11월 8일," 배그 버그 개많네. 좀 고쳐라. 가끔 게임하다 죽으면 나가는창은 안뜨고 시체상자만 보여줌;; 그래서 게임 껏다 켜야 대기실갈수있음, 그리고 게임하다보면 갑자기 옆으로 안움여짐"
0,1,2018년 12월 4일, 초반엔 재밌었는데 가면 갈수록 문제가 개선되지 않네요 1.렉이 너무 심함 2.핵이 많은데 신고해도 멀쩡히 게임함 3.업데이트 이후 시작하면 enter match가 시작됨 그리고 로딩이김 그러면 다른 팀원들은 비행기 내리는데 나만 로딩되고 게임이 시작되지 않음 4.총쏘기 버튼누려면 총알이 안나감 메일 보냈지만 답장없고 고쳐지지 않음
1,2,2018년 12월 2일, 너무 서버 렉이많이걸리고 계속 튕겨요.. 그리고 뭐 누를때마다 너무 느리구요.. 좀 어떻에 해주세요...ㅠㅠ
2,5,2018년 11월 14일, 제작자님 너무나 재밋구여 이거는 현질을 안하면 할수없는게 너무 많아요. 좀 줄여줬으면 합니다. ㅎㅎ
3,4,2018년 10월 30일, 왜 안드로이드는 0.9.1버젼 업데이트 안되나요? 호환 안되서 같이 게임도 못합니다! 업데이트 가능하게 좀 부탁드려요~
4,3,2018년 10월 27일, 아니 왜 최신버전으로 업데이트 하고 다섯번정도 지웠다 깔았는데 자꾸 버전이 다르다고 클랜 가입이 안되는건가요?
5,4,2018년 10월 26일, i update it and i try to invite my friend and pubg said that i dont have some latest version? and i need to update what happen answer me pls.
6,5,2018년 11월 10일, This game is f$#@ing perfact just add 8 squad pls and can you make team kills too?
7,1,2018년 11월 26일, 저기저....랙좀 고처주세요.너무랙이심해서 할수가없네요.핸도폰도 바꾸어보았는데 랙이 자꾸걸림니다ㅠㅠ 제발 고처주세요
8,5,2018년 10월 28일, 소리 가 너무 좋아 진짜 잘 어울리는 것 같아요. 업데이트 할 때 까지 계속 저는 기다리고 있습니다 그리고 저는 제가 좋아하는 것 같은 느낌이 들어요 안녕히계세요 🇱🇷🇱🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇱🇷🇱🇷🇰🇷🇰🇷🇰🇷🇱🇷🇱🇷🇰🇵🇰🇵🌏😀🤲🙌
9,1,2018년 11월 7일, 고객센터 대응 없음. 중국업체 특징적인 무책임함 차라리Free Fire 나 하시요
