,5,2018년 9월 17일," Easy system for mobile phone. Nice ads system. But I hope that I can see some bigger buildings like 3x3, 4x4. This game is great. I hope you update frequently."
0,5,2018년 9월 27일, 땅이 더 넓었으면 좋겠습니다. 레벨이 높아지면서 더 많은 건물을 지을 수 있지만 이미 땅이 꽉 차버렸어요.
1,5,2018년 9월 22일, 심시티 좋아하면 해보세요 똑같음 할인이벤트 ㄱㅅ
2,5,2018년 10월 28일, 소소하게 재밌어요~앞으로 더 다양한 컨텐츠와 넓은 맵을 지원해주셨으면 좋겠어요 굿럭
3,4,2018년 10월 27일, I cannot hear a game sound may something wrong in this game. Fix it please
4,5,2018년 9월 24일, korean patch plz
5,5,2018년 9월 24일, awesome
6,5,2018년 9월 1일, 후반부인데 돈 20000 이상 저금이 왜 안되죠ㅜㅜ 땅넓혀야되는데... 한번사면 최소 3일이상 하게되요
7,5,2018년 9월 2일, 나쁘지는 않다. 설정부터 건물까지 영어해석하는데 걸리는 시간만 빼면.
8,5,2018년 8월 30일, 과금 시스템이 없습니다
9,5,2018년 9월 10일, plz korean
