,5,2018년 12월 1일, 포고 gps안잡히시는 분들 폰이 오래된건 아닌지 버벅되는 분들 용량 확인 해보세요! 2년되고 용량 최소로 산 제폰은 종종 그러는데 용량크고 신형 쓰는 다른 친구들은 잘 되네요ㅡㅜ 포고 용량이 크긴 큰가봐요 업데이트도 잦고 그럴때마다 사진첩 정리하고 앱정리 어플 돌립니다...
0,5,2018년 12월 5일, 삼성(LG)폰만 GPS조작이 됀다고하네요. 빨리 바꿔주시면 좋겠습니다. 열심히걸어다니는 사람이 불쌍합니다. 어떻해20KM걸은 애가 애버라스사탕이 400개 정도 됌니다. 억울합니다.
1,2,2018년 12월 2일, 포켓몬고를 하려고 들어가서 로그인을 하려하는데 안된다고 오류가 계속떠요 이거 어쩌면 좋죠? 신규랑 이전거 다시 돌려서 하는걸 눌러도 안되요..
2,5,2018년 12월 4일, 제작자님2 017년에지우고2018다시깔았는데 어제들어가지고 오늘안들어가져요 다시시도해주세요만계녹나와요ㅜ 어덕게해요?
3,3,2018년 12월 1일, 포켓몬고 하려고 밖에 나왔는데 계속 GPS를 찾고있다고만 나오고 정작 포켓몬이 나오지 않아 이렇게 댓글 남겨봅니다 고쳐주시면 좋을거같아요
4,5,2018년 12월 4일, 제가 오랜만에 접속을 했는데 GPS를 못찾는다고 11뜨는데 해결방법좀 알려주시면 좋겠습ㄴ다
5,4,2018년 12월 4일, 메탕 미뇽 애버라스는 나온지 몇일 안됬는데 벌써 사라지네요.. 이포켓몬들 좀만더 나오게 해주세요 너무 아쉽네요
6,5,2018년 12월 1일, 제작자님 다른 거는 다 좋습니다 그런데 지금 GPS조작을 사람들이 너무 많이 합니다 그래서 GPS 조작좀 막아 주시면 좋겠습니다 그리고 이제부터 GPS 조작을 하면 포켓몬 고 계정 까지 정지 시켜주시면 좋겠습니다
7,5,2018년 12월 5일, 다 좋은데 접속및 상태가 안좋네요. 서버가 이상한가요. 잘되다 이상하게 문제가 자주 생기네요
8,3,2018년 12월 5일, 게임은 재밌는데 갤럭시 s7사용 중인데 포켓몬볼 플러스가 전혀 연결이 되지 않습니다. 찾아보니 꽤나 안드로이드의 고질적 문제인듯한데 꼭 고쳐주었으면 좋겠습니다.
9,1,2018년 12월 1일, 안녕하세요 간만에 플레이하고있는 트레이너 apsjfjdkssjx 입니다 포켓몬들을 체육관을 보내고 돌아오면서 포켓 코인 50개씩 주는 걸로 알고있습니다 그런데 지금 제가 포켓코인 3번을 못받아서요 해결해 주셨으면 합니다
