,5,2018년 12월 2일, 정말 좋은데 제 폰이 노트9거든요? 근데 노트 전기종이 s펜을 사용할 수 없더군요. 이게 폰 문제인지 게임문제인지는 모르겠지만 하루빨리 개선되었으면 합니다
0,5,2018년 10월 12일, 신박하고 적당한 중독성 그래픽 감성 모두 너무 좋아요 ♡♡♡ 한가지 부탁드리고싶은게 노트9 s펜으로 컨트롤 가능하게 해주세요ㅠㅠ s펜만 되면 진짜 편하고 재미있게 즐길수있을것같아요 ! !
1,5,2018년 12월 3일, 여윽시 정말 재밌습니다! 다만 이게 핸드폰으로 하다보니 손가락에 가려서 화면이 잘 안 보이는 경우가 있습니다. 그런거는 좀 고쳐주시면 좋을것 같아요!
2,5,2018년 8월 18일, 2-11까지는괜찮은데 12부터 뭔가이상해요 .. 프로그램문제인거같기도하고 ㅜㅜ확인한번만해주시면 안될까요?
3,3,2018년 7월 16일, 노트 FE 쓰는데 S팬으로 게임 할수 없습니다. 게임은 재밋는데 손으로 하려니 너무 불편하네요. 그점이 개선되면 매우 좋을 듯 합니다.
4,1,2018년 7월 15일," 제가이걸 한번해볼려고 했지만 별로 재미가없어 환불하고 삭제했는데 앱은 계속 있더라고요 그래서 삭제도안되고 하지도못해서 다시 사서 
삭제하려하는데 환불이 안됩니다 제발 환불좀 해주세요"
5,3,2018년 11월 7일, 환불 요청합니다. 게임이 안들어가지네요 Request refund. The game isn't working.
6,5,2018년 10월 22일, 재밌어요근데1에서15스테이지별3개어케해요? 예산미만인데왜안되죠돈적게쎃는데
7,4,2018년 8월 29일, 게임 나무 재밌습니다. 노트8 s펜 지원 가능하게 해주시면 감사합니다
8,5,2018년 5월 16일, 꽤 재밋네요 약간의 힌트 잇엇으면 좋겟고 플레이화면종류가 한가지 더잇엇으면 좋겟습니다 좋은게임 맘에들어요
9,5,2018년 5월 12일, 손으로하는거라 조작이 조금불편한거빼면 잼슴
