,5,2018년 10월 26일, 이겜 똥겜 취급하는 애들아 니들 손 탓해라 괜히 할 줄 모르는 놈들이 욕질이여; 갓겜 인정하십니까 판사님? 땅땅땅 인정합니다
0,3,2018년 10월 23일, 제가 좀하다가 지웠는데 실수로 또 샀거든요? 그래서 설치중에 취소했는데 환불안돼요
1,2,2018년 11월 22일, 저기 환불버튼이 없네요 환불좀...... 조작감도 별로구 모두 환불 부탁드려요..
2,5,2018년 11월 2일, 재미있지만 새로 까니까 차가 사라졌어요 토요타86이랑 Lexus LFA
3,5,2018년 10월 22일, 2년간했는데 패치를하면서 더좋와저습니다
4,2,2018년 12월 2일, Its too arcady for car guys like me
5,5,2018년 12월 6일, 정말 좋습니다 1000원이 안아까운 게임!
6,5,2018년 10월 16일, Best
7,5,2018년 8월 26일, 이거 기본옵션이 머죠?? 갑자기 옆으로 돌리기만햐도 브레이크가 강하게잡혀서 지혼자멈추네요....좀알려줘요
8,3,2018년 9월 15일, 오랫동안 안하다가 했습니다. 현질 하였던 계정이 없어졌습니다. 복구 부탁드립니다
9,5,2018년 8월 29일, 현질 날아간 유저들에게 한마디: 이 게임 수동저장이라 따로 클라우드 세이브 해야되요 인게임에서 찾아보샘
