,2,2018년 10월 14일, 게임설명만 보고 진짜 재밌겠다고 생각하고 구매햇음 다양한 엔딩이 존재할거라고 예상했지만 정해진 길은 단 하나 왕가에 걸린 저주를 푸는것. 플레이어는 이 저주를 풀때까지 영원히 같은 선택만 반복하다가 죽는 왕의 아들의 아들의 아들의 아들의 아들임
0,2,2018년 10월 15일, 이 게임은 어떻게 통치하냐에 따라서 새로운 이벤트가 막 생기고 그에 따른 다양한 엔딩을 볼 수 있는 타입의 게임이 아닙니다. 공략을 안보고 두뇌 풀가동으로 트루 엔딩을 보라고 만든 게임인거 같긴 하지만...개인적으로는 그냥 공략보고 깨시는걸 추천드립니다...
1,5,2018년 10월 29일, 왜 v3악성코드 검사하면 게임이 악성코드라 삭제권장이 뜨죠 게임를 삭제하고 재설치해도 똑같네요 여왕버전이나 왕좌버전은 안뜨는데 이것만 악성코드로 뜨네요
2,4,2018년 11월 27일, 재미있었는데 리셋 몇번 하니까 내용이 반복되니까 약간 지루하긴 하네요ㅠ 그래도 재미있긴 재미있음! 일단 시작하면 끝을 볼때까지 게임에서 못 빠져나옴!
3,5,2018년 10월 13일, 4가지의 선택지와는 관계없이 하나의 목적(저주를 푸는 것)을 위한 게임이다.
4,1,2018년 10월 18일, 갑자기 악성코드가 있어서 지웁니다
5,5,2018년 10월 19일, 재밌는 게임이네요
6,4,2018년 10월 7일, 킬링타임용으로 좋은 겜
7,2,2017년 12월 11일, 자유도가 높은 게임인 줄 알았는데 결국 하나의 목적을 위한 게임이였음. 그 많은 선택지들 중 대다수는 그냥 4가지 게이지를 조절하는 용도였고 결국 끝에 엔딩을 보기 위해 노가다로 수집하는 게임. 선택지도 랜덤으로 나와서 노가다성이 더 해짐. 따라서 처음 해볼때는 신선했지만 1회차를 마치고 실체를 깨닫고 난 뒤엔 금방 질리는 게임
8,3,2017년 12월 31일, 킬링타임용 게임. 이벤트에 대한 랜덤적 요소가 없어 몇판 돌리면 훤히 보이는 이득과 손해. 오래잡고하는 겜은 아님
9,3,2017년 12월 13일, 1번째 왕 보두안으로 666년 악마를 만나서 저주를 받고 아니요 만하다가 죽어서 2세대왕으로 바뀔때 나타나는 망령에서 예라고 했는데 왜 저주가 실행이 안돼나요?
