,2,2018년 11월 17일, 광고 좀; 아니 나랑 해보자는 건가 하는 생각까지듬 광고 보게할라고 아예 못깨게 나오는건지 14개 눌렀는데 뒤지는건 내가 빡대가리가 아니라 걍 깨지말라는거 아님?ㅎ
0,5,2018년 11월 23일, 짱 재밌있는 데 어렸네요
1,5,2018년 11월 18일, 너무 재밌음 진짜로 ㅠ
2,3,2018년 11월 24일, 광고가 너무 많아요. 제가 게임을 하고 있는지 광고 사이트에 와있는지 모르겠네요.
3,2,2018년 9월 30일, 게임은 재미있어 할만한데 한게임 하고 끝날때마다 계속 광고가 나오니까 재밌다가 정말 화가 나네요..이 광고로 돈 버는 건 좋지만 넘 고아고가 많아 게임을 즐기기가 정말 힘드네요 제발 광고좀 줄여주세요
4,1,2018년 9월 30일, 3탄부터는 못깨게 해서 계속 광고보게 하고 광고도 30초짜리 긴 겈ㅋㅋㅋㅋ 한 판 깨려면 광고 무조건 2-3번 봐야함
5,2,2018년 9월 30일," 광고가 주 수입원 인건 알겠고, 죽었을때 광고 보는거는 이해를 해도 깰때도 광고가 나오네요"
6,1,2018년 9월 29일, 광고가 너무 많고 똑같은게 계속 나와서 죽어요
7,1,2018년 10월 7일, 광고도 많고 똑같은것만 나와서 계속죽어요
8,5,2018년 10월 4일, 너무 좋아옴!!
9,3,2018년 10월 9일, 광고 너무많아
