,4,2018년 12월 5일," 게임 잘만들었습니다. 하지만 pk.. 가 페널티도 없이 너무 쉽게 되어있네요... 필드에서 사냥을 해도 pk걸고있고 자원 1~4시간 열심히 케고 있어도 걸고.. 게임은 참 재미있는데... 사냥 5분만에 pk 걸리고, 자원 열심히 케는데 계속털리고.. 플레이가 힘들어 지웁니다..."
0,5,2018년 12월 2일, 나는 원해요 한국어 스타플릿의 개발자들 한국어에 불만 있어요? 당신의 불만 나의 과금으로 대체되었다 AND I ALSO 트렉조아
1,4,2018년 12월 2일, 다 좋은데 한글 번역도 필요없고 그냥 채팅으로 한글 칠 수는 있게 문자셋 utf-8로 바꿔라
2,5,2018년 12월 1일, 오랫만에 좋은 게임을 만났네요. 얼른 한글화돼서 좀더 원활한 플레이를 할수 있었으면 좋겠습니다.
3,5,2018년 11월 29일, 재밌습니다~ 한국어지원하면더꿀잼일거같습니다~
4,4,2018년 11월 28일, 다 좋지만 한국어지원이 있었으면 좋겠습니다.
5,2,2018년 12월 1일, 하지마세요 돈안쓰면 성질만 더러워집니다
6,5,2018년 12월 5일, Need korea language. 한국어지원이 필요합니다.
7,1,2018년 12월 2일," 아놔~ 영어라서 몬말인지 알아야겜을하지 우리는 이런거 못만드나요? 존심상하넹 지미,,,,,"
8,5,2018년 12월 4일, 복잡한데 잼남 시간투자 필요
9,1,2018년 11월 29일, 한글화 안되서 지웁니다 한글화해주세요 한국무시하나요?
