,5,2018년 12월 3일," 현금카▷지노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버801이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
0,5,2018년 12월 4일," 현금▷카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버3773이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
1,5,2018년 11월 29일, 이 게임 정말 재미있긴한데 제가 지금 445단계 이거든요. 근데 올라가도 큰차이가 없어요. 난이도가 다 비슷해요 그리고 캐릭터도 더 만들어 주세요
2,5,2018년 11월 28일, 게임자체는 잘 만들었습니다 그러나 광고가 너무많습니다.이점은 와이파이를 끄면 되지만 너무 번거로운점이 있어 광고를 자제해주셨으면 좋겠습니다 +같은곳에서 튕기다보면 엄청 빨라지는거 의도한건가요?
3,5,2018년 11월 30일, 이건 레알 게꿀재이다 광고가 만지만 와이파이끄면 되니까 괜찮아요 그리고 중독성 쩔고 밖에서 시간때우거나 기다리거나 할때 하면 좋을듯. 굳!
4,1,2018년 11월 29일, 아니 제작자야 어?맵을 5개~10개만들면 재밌는줄아냐? 적어도 20개는 만들어야 눈치못채고 게임이라도하지 난이도도 다똑같고 재미없어서 지운다
5,1,2018년 11월 27일, 이거랑 똑같은 게임이 이거보다 하루 일찍 나왔던데 카피인가요? 죄송하지만 먼저 나온 게임보다 불편하고 별로에요.
6,4,2018년 12월 1일, 아니 재밌긴 한데... 솔직히 비슷한 단계 계속 반복해서 나오는거 같아서 나중에가면 좀 지루해요...;; 그리고 너무 쉬움
7,5,2018년 11월 29일, 진짜 핵잼꿀잼이고 진짜 재미있는데 캐릭터를 도 다양하게 해줬으면 좋을꺼같아요 광고도 다 보고 캐릭터 다 얻었는데 더 새롭고 신기한 캐릭터가 추가됐으면 좋겠네요!그럼 좋은시간 보내세요~!
8,1,2018년 12월 4일, 중간에 나오는 광고가 아이가 보기엔 선정적이네요.깜짝놀랐어요.당장 게임 삭제하라고 했습니다.ㅡㅡ;;;
9,5,2018년 12월 4일, 버그땜에 65단계 통과가 안됬어요;; 너무 멀리 위로 날아가서 골인지점까지 들어갔는데 죽더라고요 버그좀 고쳐주세요
