,5,2018년 12월 4일, 재미있어요.근데 자석처럼 동전을 모으는 보드가 새로 나오면 좋겠어요.기대할게요!!!!!!
0,5,2018년 12월 1일, 심심하고 와이파이 안터질때 하면 딱좋네용 재밌어요~
1,5,2018년 12월 1일, 몇년전에 하다가 복귀했는대 역시 꿀잼은 꿀잼!
2,4,2018년 12월 3일, 재미있어요!!!!ㅋㅋ
3,5,2018년 11월 30일, 업데이트 돼서 너무 예쁘고 재미있어요. 앞으로 더재미있게해주세요
4,5,2018년 12월 1일, It's good when you do not have Wi-Fi! Full chan! But let me get a lot of item boxes (?) When I play games.
5,5,2018년 12월 2일, 업데이트되서 더 좋고 와이파이가 필요없어서 어디서든지 할수있어서 좋내요
6,5,2018년 11월 29일, 꿀잼 입니다!
7,4,2018년 12월 3일, 좀......재밌내요.
8,5,2018년 11월 29일, 안녕 하세요 ㅠ
9,1,2018년 12월 1일, 업뎃하구나서 시선이 지대로 안보임
