,5,2016년 9월 24일,핵잼 진짜 너무 재미있어요. 특히 그래픽이 너무나 좋은것 아쉬운건 한국어가 아니라는것ㅜㅜ진짜 이렇게 게임 돈 주고 구매 안하는뎅 시리즈3까지 다 구매했어용ㅎㅎ 이거 하다가 새벽까지 못잤답니당
0,5,2017년 4월 3일, 캐릭터하나 얻으려고 수만원을 써야하는 창렬한 가챠로 가득한 게임보다 저렴한 가격으로 완결된 게임을 즐기는것이 당신의 즐거움을 위한 선택이다. 현질유도게임보다 훨씬 플레이경험도 뛰어나다.
1,2,2016년 9월 11일,"아니 무슨 게임이 저장이 안되네요...같은 부분만 5번씩하고 제대로 Quit 까지 했는데 저장은 무슨...하...유료결제 한것중 도중에 그만 둔 게임은 이게 처음이에요. 그래도 게임의 수준이 높고, 그래픽이 좋았어서 '별로'를 선택했습니다."
2,5,2016년 11월 17일,그럭저럭 퍼즐 좋아하면 재밌게 할 듯. 그래픽에 눈호강합니다ㅠ 중간중간 무서운 장면도 있긴 한데 그럭저럭 할 만 해요.  하지만 5단계가 끝이라 너무 서둘러 하다가는 돈아까울 수 있음. 그래도 단계마다 시간이 좀 걸리니 돈값어치만큼은 하네요
3,3,2016년 10월 27일,스토리 이해가 잘 안되네요 스토리 별로 안중요할 줄 알았더니 스토리가 비중이 크네요. 저같은 영어 모르는 사람에게는 그냥 퍼즐푸는 재미밖에 없네요.
4,5,2016년 9월 4일,재밌어요! 한국어로 번역안된게 좀 아쉽긴 하지만ㅋㅋㅋㅋ대충 다 알아먹겟더라고요..ㅎㅎ 이제 3 사러 갑니다
5,5,2016년 10월 3일,재밌어요. 1편 해보다가 3편까지 결제해서 다 엔딩봤어요. 요번에 ios는 2까지 한글화됐던데 안드도 빨리 됐으면 좋겠어요. 정말 재밌습니다.
6,5,2016년 9월 4일,2천원으로 피방가서 오버워치 두시간 할바엔 이거 하나사서 사고력 기르는게 100배는 더 좋네..............팔로 떠납니다
7,5,2016년 11월 18일,한글판더룸은 다시 구매해야되는건가요?? 예전에 이거 영뮨판 더룸을 돈주고 받았었는데 한글판나왔다길래 뭐 그냥 한글판되겠지 했는데 안되는거같은데...한글판 더룸은 다시돈을 주고 받아야하는건가요??
8,5,2016년 10월 29일,역시나 더룸 1때랑 달라진게있다면 더 깨야할게많아짐 그리고 아쉬운점은 힌트가 영어...ㅠㅠ 1은 한국어였는데 2에서는 한국어 지원이 안됨 마지막은 영화급 퀄리티 굳굳
9,5,2016년 10월 20일,방금 엔딩 봤어요 아... 아직도 가슴이 뛰는것 같아요 정말 시간 가는줄 모르고 푹 빠져서 두근두근하며 즐겼습니다 진짜 재밌어요! 이제 3 시작해야지
