,5,2016년 9월 5일,"재밌네요 사서 해도 돈이 아깝지 않음. 적당히 어렵고, 힌트는 이해 못하면 찾기 어려울수도 있지만 충분하네요. 게임 퀄리티도 정말 좋음"
0,5,2016년 7월 7일,"퀄리티 최고입니다. 참고로 한글판도 나왔는데 영문판이랑 결재연동되지 않습니다.(즉, 새로 구매해야한다는 얘기) 참고하세요."
1,5,2016년 2월 13일,This game is My first payed game and i love it! Thx u guys to mack this game and i'm going to play room 2 so cya
2,5,2016년 1월 25일,버벅임 해결된 듯 굿!
3,5,2017년 12월 27일, Magnificent!  Puzzle after puzzle!  It's just awesome!
4,5,2017년 6월 8일," So addictive, abt to buy Room 2"
5,5,2017년 2월 14일, 신박한 게임!
6,5,2016년 11월 25일,재밌네요 재밌어요
7,5,2018년 11월 21일, 와.... 하나하나 해결해 나갈때마 짜릿해요; 게임 진짜 잘만들었다
8,5,2016년 2월 29일,Too addictive Omg
9,5,2017년 10월 27일, 돈이 안아까울만큼 재밌네요
