,1,2018년 9월 18일," 무료 체험 끝나고 자동으로 갱신되기 전에 알림을 주든가 괜한 돈 20,000원 가량을 뜯겼습니다. 진짜 글씨도 작게 써놔서 알아보기도 힘들게 만들어 놓고. 노인들 뜯어먹는 보험 사기꾼 같습니다. 인류애 저버린 느낌이고 절대 다시 안 하겠습니다. 돈 돌려받을 수 있음 좋겠습니다. 결제된 뒤로 들어간 적도 없는데 돈 돌려주세요...."
0,5,2018년 8월 19일," 게임관련 리뷰를 적지 광고때문에 별점 테러당하네~ 별 한개준 사람들보고 이 게임 안하시면 진짜 후회합니다!! 광고 많은거 인정합니다. 
하지만 7~8초 기다리면 우측 상단에 x표시떠요. 그걸 왜 30초동안 보고 계신건가요ㅋ.. 그 광고로 부활도 할 수 있어서 전 너무 
만족합니다. 광고가 싫으시면 와이파이나 데이터 끄시면 하나도 안나와요. 모두 즐껨~!~!~!~! *빠른 업데이트 부탁드립니다.*"
1,1,2018년 11월 15일," 저기요 미니게임중에 톱니바퀴가 나오는 구간이 있는데거기서 죽어서 200원 내고 되살아나려고 했는데 죽었습니다;;; 톱니가 그대로 있더라구요?;;하하;; 이거 왜이러죠? 그리고 광고요? 네네 넣고싶은 맘은 이해하는데...데체 왜 한판 끝나고 광고 한판 끝나고 광고 이러는거죠? 저 그 광고가 시도때도없이 나와서 이 게임을 진행할때마다 와이파이를 끄고합니다 하하^^ 광고 안나오니까 편하더라구요^^ (그러면서 또 데이터 게임으로 바꾸면 욕합니다) 제발 광고,렉,버그 고쳐주세요 겜할때마다 빡칩니다;;;;;;;"
2,3,2018년 9월 15일," 게임 자체는 정말 잘 만들었지만 광고를 너무 여러 군데에 쑤셔놓은건 별로 좋은 선택은 아님. 개발사 쪽에서 수익을 창출하는건 당연하긴 하지만 무료 부활, 무료 아이템 등을 댓가로 광고를 거는건 좋으나 스테이지 클리어, 스테이지 재시작에 광고를 걸면 게임 플레이 자체에 걸림돌이 됨. 과도한 광고는 결국 애드어웨이 사용을 낳을 뿐임"
3,1,2018년 10월 19일, 저 19일까지 무료라 적혀있더군요 근데 돈 9500가량 뜯긴건 18일이네요 못믿겠다면 사진 캡쳐해서 보내겠습니다. 앱 후기 보니까 저 외에도 다른 사람들 모두 돈이 뜯긴것 같은데 그분들까지 모두 돈 돌려주시죠 어제 환불하려고 들어가보니 결제내역도 안떴어요 제발 제대로 환불해주세요 정확히 9500원
4,1,2018년 8월 18일," 게임은 재미있는데요. 3일동안 무료로 제공되는 혜택은 3일이 지난 후에 결제가 다시 진행되어야 하는거 아닌가요? 18일까지 무료라 
구독취소 안하고 있었는데, 17일인 오늘 9500원이 빠져나갔네요. 환불하려고 결제내역 들어가도 안뜨구요. 결제내역이라도 주세요 
환불하게. 답변 바랍니다. ㄴ오늘 다시 돈 들어왔습니다. 감사합니다."
5,5,2018년 10월 22일, 여러분 광고는 게임을 종료하고 와이파이나 데이터를 끄고 게임을 키면 광고없이 게임즐길 수 있습니다!!! 200단계까지 올클하고 너무 재미있어서 리뷰남겨요 :) 그리고 3일체험후에 자동결제되는 형식이니까 제발 참고하시고 체험해주세요! 마스크는 스테이지클리어에 거의 무관합니다!
6,3,2018년 10월 23일, 저는 원래 광고 신경 안쓰는편인데 이게임은 너무 많습니다. 광고가 몇초 지나면 금방 없어지기도 하고 와이파이와 데이터를 끄고 있으면 광고가 안 나타나기도 하지만 많은건 사실이므로 남겨요...ㅜ
7,1,2018년 9월 1일, 상자 필요없어서 광고 안보고 넘기려는데 자꾸 광고를 보여줌ㅡㅡ 담판으로 넘어가려거나 게임에서 죽고 난 후 귀찮아서 가려는데 자꾸 광고 보여줌!!! 상자나 부활 필요없다는데 왜 보상은 안주면서 광고 보여줘요? 게임자체는 심심풀이로 하기 나쁘지않은데 한파마다 광고 2~3개 보여주니 짜증남 광고제거4천원 낼만한 가치까지는 아니라서 그냥 삭제힘
8,2,2018년 9월 16일, 게임은 재미있습니다. 광고가 과다하게 많아요. 비슷한게임들은 광고에 혜택이 많이 달리긴했어도 선택제인데 이 게임은 본인의 의사와 전혀 상관 없이 광고가 켜지는데 그 횟수도 너무 많아요. 지쳐가지고 그냥 지웁니다. 참을성 많으시면 게임은 하세요. 게임은 재미있어요.
9,3,2018년 8월 19일," 이 게임이 단순해서 즐기기는 좋은겄같아요.. 다만...광고가 너무많이나오는겄같네요 한판끝날때마다 광고가 나와요 이거만 고쳐주시면 
더좋을겄갔아요.. 제작자님이글보시면 이겄좀고쳐주세요..ㅠ"
