,1,2018년 12월 3일, 2101단계깨고 챔피언스리그까지 가서 100단계넘게 깼는데 왜갑자기 레벨1로 넘어가는거죠 ? 어렵게 다 깬건데 아진심 화나네요 원래대로 돌려주세요!!!!
0,4,2018년 12월 3일, 재미있고 지루하지않구 생각을 하게 만드는게임인듯요
1,1,2018년 12월 5일, 이게임에절대현질안할거임. 아이템이나현질안하면스트레스유발게임.
2,5,2018년 12월 3일, 재미있고 도전성취감 있어요
3,5,2018년 12월 4일, 참 잼남
4,2,2018년 12월 4일, 어느정도 난이도 이상부터는 그냥 운
5,5,2018년 12월 3일, 고퀄게임입니다. 대박.
6,5,2018년 12월 3일, GOOD
7,5,2018년 12월 4일, 👍
8,5,2018년 12월 3일, 좋아요
9,3,2018년 12월 3일, 업뎃된거 같은데 다른 나라는 벌써 2251판 깨고 챔피언리그 하는데 왜 나만업뎃이 안뜨는건지..? 한국만 안되는건지..거참 소비자를 위한 공정한정책이면 늦게 출발하는것도 공정성에 해당됨. 100미터 달리기 하는데 늦게 출발하면서 이길수 있남?1등은 현질도 앞도적일텐데
