,5,2018년 12월 2일, 11월30일인지 12월1일인지 그때부터 제폰 마이토킹톰2에 색칠놀이랑 유령나오는 게임이 있어요 가족들 폰에 설치된 톰2에는 그게 없구요 왜그러지요??? 가족들도 업데이트 다 했고 지웠다가 다시 깔아도 없어요 제폰이 이상한건가요?? 톰2는 다른건 다 귀엽고 재미있는데 톰이 더러울때 너무 징그러워요 얼룩덜룩.. ㅠㅠ
0,5,2018년 12월 2일, 토킹톰 말하는게 너무귀여워서 화날때 요거 하면 화가 싹 풀려서좋아용
1,5,2018년 12월 2일, 완전젛은데 돈을 벌수있게 해주세요
2,5,2018년 12월 1일, 캐릭터가 넘넘 많족스러워요 대 만족
3,5,2018년 12월 1일, 너무좋와여!!!!!!
4,5,2018년 12월 1일, 재미있는 스마트폰 게임
5,5,2018년 12월 2일, 뀬잼 핵쟁ㅅ
6,3,2018년 12월 4일, 아이돈노우
7,5,2018년 12월 1일, 감사감사 😍😍
8,5,2018년 11월 14일," 15 레벨부터 약간 캐릭터 움직임이 부자연스럽습니다. 그래서 그것만 좀 고쳐주면 좋겠고, 너무 다른 게임을 따라한 미니게임이 많은 것 같습니다. 훨씬 독창적인 미니게임을 만드는 것이 좋다고 생각합니다. 그 외에는 다 좋은 것 같습니당"
9,5,2018년 11월 7일," 역시 예상대로 귀여운 게임이네요. 저번시리즈에 없던 펫이 있어서 마음에 들고, 다른 추가된것들도 좋네요. 단순히 게임성으로 보자면 좋지만 광고가 자주나와 귀여운 톰을 보는데 흐름이 깨집니다. 한번씩 나오면 좋을것 같네요."
