,1,2018년 12월 1일, 광고가 너무 불편해서 리뷰 남깁니다. 오빠와 나 라는 제목을 가진 광고였는데 오빠의방과 모든 부분들은 파란 색계열이었는데 여동생인 나의 방과 여러부분은 붉은 계열이더라고요. 그부분은 좀 개선되었으면 좋겠습니다
0,2,2018년 11월 29일, 솔직히 처음엔 좋았는데 캐시 충전하지않으면 못사는게 더많은거같아요 그 캐시들좀 줄여주세요.... 캐시충전하지도 않는데 방꾸미는데 들어가는 캐시가 너무 많아요
1,3,2018년 11월 24일, 이쁜 가구들도 많고 재밌는데 중간에 게임이 너무 어려워서 접었습니다 흑흑 ㅜㅜ 아쉽네요..저는 그런 게임보다 아기자기 꾸미는 게임을 좋아하는데..제가 못하는 게임이여서 너무 아쉽습니다
2,1,2018년 12월 1일, 최악임. 타일들이 랜덤하게 떨어지는게 아님. 초반엔 도무지 깰수없게 떨어지고 15판 쯤 가면 다음판 가라고 타일들 잘줌. 고로 돈쓰면 빨리깨고 아니면 15판까지 가면 미안한지 쉽게 해줌. 농락당한 기분임
3,1,2018년 11월 25일, 게임해서 버는 코인이 너무 적은데다가 게임에 필요한 하트 개당 30분은 너무 하지 않나요? 게다가 돈을 벌수 있는게 현질밖에 없는건 ㄹㅇ 아닌듯;;; 차라리 광고 앱을 깔라고 하던지 참 게임 자체는 좋은데 게임으로 돈 버는 방법은 1도 모르는 듯
4,3,2018년 12월 4일, 재미는 있는데 레벨법이 끊기지 않게 플레이 진행할수 있게 업뎃을 미리미리 해주던가 아님 업뎃 기다리는 동안에는 전에 했던거 골고루라도 하게 해줘야 할거같아요 ~!! 업뎃 기다리는동안 맨 마지막 판만 주구장창 해야하니 짜증나요 ~!!
5,1,2018년 11월 27일, 게임은 인내하며 할수 있었다 중간에 나오는 광고에도 그럴수 있지 후원사인가보다 했다 그 광고에 낚여 10만원 사기당해 날렸다 확인되지 않은 광고에 얼마나 많은 사람이 당했을까 싶어 최억의 점수를 남기고 게임삭제함.
6,4,2018년 11월 25일, 캐쉬한번질럿더니 광고는 안뜨는데 광고보면캐쉬주는거며 왜안줘요?ㅋ 아에안뜸 하루세번무료광고보고 하트받는것도안나오고ㅋ 완전짜증
7,4,2018년 11월 26일," 꾸미는게 재밌어요. 근데 돈 얻는 플래이도 나쁘진 않고,근데 좀 어려운갔아요. 근데 게임은 완전 만점!!!"
8,5,2018년 12월 3일, 게임이 좋은데...광고가 너무 많아서 리뷰 남김니다~죄송합니다ㅠㅠ
9,3,2018년 12월 1일, 다 좋고 게임도 재미있는데 코인을 너무 짜게 줘요 인테리어 비용높이신만큼 게임에서 이기면 주는 비용도 높여주면 좋겠고 광고라도 더 늘리셨으면 좋겠어요 그리고 게임 클리어하기전에 다터질때 마지막 세개짜리 있고 5개짜리도 막 있는데 그거 그냥 무시해버리고 코인을 주시더라고요 그거 수정해주셨으면 좋겠습니다 !! 이런거 빼고는 진짜 재미있어요 저 게임깔면 질려서 오래안하는데 이번꺼는 오래됬어요!!! 이 수정사항 제발 들어주셨으면 더 재미있는 게임이 될것같네요 게임만들어주셔서 감사합니다 ㅎㅎ
