,3,2018년 11월 30일, 어제까지 잘만 했는데 오늘 좀 전에 들어갈려니깐 계속 검은 화면만 뜨고 아무것도 안 나와요. 진짜 저 게임 하나만 하면 학교에서도 하루종일 안 지루했는데... 갑자기 왜 안 되요?
0,5,2018년 10월 13일, 저만그런가요?? 휴대폰 게임에서 재일재밋네용!! 이거하명 스트레스가 다풀리는 느낌이럴까??ㅎㅎ
1,3,2018년 9월 6일, 13500이상단계까지올라갔어요. 단계단계올라가는것이 스릴있고 재미나요 그런데 더이상 클릭이 되지않네요 지금 2ㅁ선째앱삭제후 다시깔았어요 ㅠ ㅠ
2,1,2018년 10월 21일, 시도 때도 없이 광고가 줄줄이야... 싫어!
3,3,2018년 9월 2일, 한판 깰때마다 광고가 계속 나와서 삭제를 진지하게 고민중
4,4,2018년 8월 25일, 재미있긴하는데 보물상자 열때 광고가 계속나와요 살짝 재미없어요
5,5,2018년 9월 28일, 게임 차체는 재미있음...현재403회 광고만 좀 줄여준다면 굿......
6,5,2018년 10월 9일, 아이템들도 좋구 심심할때 하기 딱좋아요 진짜 재밌습니다!!♥
7,4,2018년 10월 5일, 점수가 매겨지는 원리를 모르겠다
8,3,2018년 11월 30일, 다음게임으로넘어가는시간이다소지루하다
9,3,2018년 11월 18일, 게임은 ㄱㅊ음 근데 광고가 미치게 많아
