,5,2018년 11월 7일, 여러분들이 계속 광고이야기를 하셔서 말씀드리는겁니다.광고는 이 게임 제작자분이 넣는게 아니고 이 게임을 관리하고 담당하는 플레이스토어 측에서 광고를 넣습니다.(그렇게 알고있어요 사실 정확한건 아니라 저도 잘은 몰라요;;)만약 이 광고가 제작자분이 넣으시는거라면 아이템을 사는것이 없기때문에 광고로 돈을 벌고자 광고를 넣는것입니다.이 게임을 만드는게 얼마나 어려운지 아시나요?한 게임이 만들어지기까지 한사람의 끈질긴 노력덕분에 즐거운게임을 할수있는것입니다.
0,5,2018년 9월 8일, 아 진짜 너무 최고에요! 그리고 저는 광고안나오기를 제 방식대로 하고있어요! 맨 위에 Ⅱ 이거 누르시고 다시하기를 누르면 빠르게 다시 할수 있어요. 광고가 안보여서 지겨울 정도랍니다ㅎ 게임 플리이어 였습니다ㅎ!
1,4,2018년 11월 7일, 재밌긴 한데 너무 어려워요. 1단계부터 못할만큼 어렵네요.저만 어려운거인가요ㅠㅠ? 광고는 별로 없어서 좋긴 좋은데 너무 어렵네요... 그래서 지웠어여.. 좀더 잘하게 되면 할께요
2,5,2018년 10월 11일," 와....진짜 질리지도 않고 계속 하게되는 중독성이 있어요!! 제가 앱이 많아서 지울려 해도 막상 지울려다 이건 못 지울 것 같아서 진짜 재밌어요!♡ 안 해보신 분들 꼭 플레이 해보시길,,,!"
3,1,2018년 10월 21일, 광고ㅋㅋㅋㅋ아니 무슨 나무 퍼즐인가 먼가 그 광고 나와서 닫기 눌렀는데 그 광고 배경음이 자꾸 들림 이 게임을 나와도 계속 들리고 아예 지워야만 안들려요. 그러다 다시 들어가니깐 다른 광고 뜨더니 그 나무퍼즐 광고 배경음 시작. 무한 반복임
4,1,2018년 9월 23일," 게임은 재미있고 시간떼우기도 좋으나, 광고 진짜 미친거같이 많이 나와서 성질나서 삭제합니다. 게임시작하려할 때도 나오고 도중에 뜬금포광고에 죽으면 또 광고ㅡㅡ 작작합시다 아무리 돈이 좋아도 그렇지"
5,3,2018년 11월 4일, 엄청재미있는데열심히블럭퍼즐보석해봐는데이상해도점수가5000점도안되고2000점도안되요.그래서딸랑600점인데좀수정해주시면별5개해드릴게요.
6,5,2018년 11월 26일, 여러분! 제말 좀 들어주세요 이 게임이 어려우시다면요 이 게임은 우리의 재미를 위해 열심히 만든 것이라고 생각합니다^-^ 만약 여러분이 열심히 만든 게임을 사람들이 어렵다고 하면 어떨까요? 생각해보세요 ~♡
7,1,2018년 10월 3일," 게임 체험판이라고하죠? 유료게임은 어떨지 모르겠으나. 광고를 위해서 어느정도 점수 제한도 있는 것 같고, 별로네요.. 이런 식이면 돈을 주고 사서 하고 싶어도 장사심보 뻔히 보여서 사지 않을 듯 합니다. 참고하세요."
8,1,2018년 8월 4일," 광고좀 줄이시고, 글구요 왜 노래들으면서 할려는데 키면 꺼짐? 겁나 짱나. 겜은 좋은데 운영 핵병맛임. 👎👎👎"
9,3,2018년 8월 27일, 저 제작자님 이 겜은 심심할때 하기좋은 게임입니다. 근데 1판~2판이면 꼭 광고가 계속 나와서 짜증이 쪼~금 납니다. 그래서 10판에 광고를 넣어주시면 감사하겠습니다~!!
