,5,2018년 11월 27일, 나는왜 자동선택이안될까ㅜㅜ그래서삭제하고 다시깔아도 안되네요오!
0,4,2018년 11월 27일, 자동선택은 편하지만 너무 구석에 잘개 쪼개놓은것도 있어서 태블릿이 좋을듯...
1,5,2018년 11월 24일, 다른앱들은 컬러를 일일이 선택해야하는데 이앱은 자동 으로 선택되니좋네요
2,3,2018년 11월 29일, 자동선택 된다는 사람도 있는데 뭔지 모르겠고 그림도 너무 잘게 쪼개놔서 오래했다간 눈 나빠질듯;;
3,5,2018년 11월 26일, 너무한재미있어요쉰는시간때심심하면짱인데요
4,1,2018년 12월 2일, 숨은그림찾기로 앱이름을 바꾸세요. 너무작은 크기로 곳곳에 숨겨놓아서 찾을수가 없습니다
5,5,2018년 11월 25일, 이게 완전히 중독성이 있네요 재밌게 잘 하겠습니다
6,3,2018년 11월 27일, 색칠한거 숨기기기능없나요?짱나네 할때마다 올려서해야하니 개짱남
7,5,2018년 11월 28일, 지이인짜로 좋은 앱입니다!전 배경화면으로 후후후 하죠 후후후 추천합니다
8,3,2018년 12월 1일, 12월1일업데이트된 인어 그림 오류잇어요
9,5,2018년 12월 2일, 나름색칠공부...ㅋ
