,5,2018년 11월 19일, 재밌네요. 재밌긴한데 마스터 레벨 너무 어렵네요 ㅜㅜ 별 받으려고 되돌리기나 패턴같은거 안 익히고 하려니까 컴터가 생각보다 잘하더라고요 나름대로 체스 잘한다고 생각했는데 여기보니까 다들 그마가고 그마깨고 으어.. 다들 짱 잘하시나보네요... 전 마스터나 다시깨러 ㅠㅅㅠ..
0,5,2018년 11월 27일, 짱이에요(앙파상되는진 안해봣지만). 그리고 체스 규칙 모르는 분들은 게임탓 하지 말고 체스 규칙을 좀 보시면 어떨까요? 체스에는 케슬링이란 규칙도있고 스테일 메이트라서 무승부되는 경우도 있는데 상대가 킹이랑 룩이랑 한턴에 같이움직인다거나 갑자기 무승부가 된다고 징징데지 마시고 규칙좀아시고 하세요
1,5,2018년 11월 25일, 그랜드마스터 어케깸^^ 100판은한거같은데
2,1,2018년 11월 17일, 게임이 화질이이상해요
3,1,2018년 11월 23일, 한마디로 말하면 🛇
4,3,2018년 12월 2일, 아무생각없이하면 게임 도중에 비숍 폰으로 착각한다
5,5,2018년 11월 19일, 즐거운체스게임
6,5,2018년 11월 17일, 좋아하는 게임
7,3,2018년 11월 28일, 모 그냥 보통
8,1,2018년 12월 1일, 오류투성이게임
9,5,2018년 11월 24일, Good chess
