,4,2018년 12월 1일, 169단계 어떻게해도 별이1개 ㅠㅠ 될때까징 도전중...
0,5,2018년 12월 2일, 굳굳굳굳굳굳굳잼잼잼
1,5,2018년 12월 2일, 너무 재미있어요~~
2,5,2018년 11월 29일, ☆☆☆☆☆☆
3,5,2018년 11월 29일, 재미있는 게임
4,5,2018년 11월 30일, 재미나요
5,5,2018년 12월 1일, 잼있음
6,5,2018년 12월 2일, 좋아요.
7,5,2018년 12월 5일, ﻿제가 해 본 카카오 게임중에 최고입니다 댓글중에 게임 로딩 시간 고치라 이런거 있는데 원래 896인에서 게임하면 기다려야하는게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른건 당연한건데.. 그리고 현질 안하고도 업적달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는거같아요 ^^
8,5,2018년 12월 4일, 저는왜 케릭터 옷이 안봐끼죠? 친구는 다 봐뀌는뎨요 캐린터도 친구가 헐씬많아요 판수는 내가더 높은데요.친구는 아직 못 모은캐릭터 포함 29 갸구요 저는 26개에요 캐릭터 옷갈아입게 해주세요ㅠㅠ
9,1,2018년 12월 3일, 개발자님. 553탄 현금 사용없이 클리어하시면 제 휴대폰 드리겠읍니다. 생각좀 하고 만들어라 맵 개발속도보다 유저들 진행속도가 빠르니 급급해서 만든거 티내나?
