,1,2018년 12월 2일, 아ᆢ진짜ᆢ왕 뺐기고 리셋안돼서 계속 레벨 클리어한 상태 어떻게좀 안되나ᆢ? 버블껌동산 열릴동안 계속 겜도 못하고ᆢ아이템도 못받고ᆢ 일부러 그러는건가?? 다시깔게해서 아이템 날려먹으라고.. 진짜 징하다ᆢ
0,2,2018년 12월 5일, 버블동산 대체 뭐임?시간 날리고 아이템 날리고 나만 그런줄 알았더니 다 그런거 같은데 수정 안해요? 몇일째 리셋이 안돼 대체.. 왕좌에는 다른 사람이 올라있는데 왜 게임을 못하냐고! 이벤트를 하지를 말든가
1,2,2018년 11월 29일, 들어와보니 저만 그런거 아닌거 같은데 며칠째 이러는거면 게임사에서 일을 제대로 하고 있지 않는거 아닌가요?? 버블껌동산 클리어후 계속 지금 못하고 있는데 이럴거면 뭐하러 여시는 겁니까?? 게임삭제후 다시깔면 아무리 페이스북 연동해도 아이템 다 없어지던데 메일을 보내도 이상한 답변만 주시고 빠른시일내 해결 해주세요
2,5,2018년 12월 2일, 게임이 진행이 안되서 다시 깔았더니 아이템.하트시간.게임 일일 아이템 날짜.게임 퀘스트 모두 초기화됐네요ㅡㅡ 원래계정으로 로그인되도 위에것들이 초기화된다니 어이가 없네요.복구해주세요.
3,3,2018년 12월 5일, 버블껌동산 뭐하자는건가요? 메일보내도 다시 깔라고는 하고는 아이템은 다 없어지는데? 다쓰고 깔고싶어도 모든레벤 클리어했다구요 어쩌라는건지 ㅡㅡ
4,1,2018년 12월 5일, sk엔카 광고 없애주시길 스테이지 못끝내서 계속하기 누르고 광고보고 넘어가는거 하면 어제부터 엔카광고 나오더니 한 4분동안 엔카로고만 떠있는거 뚫어져라 보고있어야 광고 끝남 뭔 광고를 그딴걸 넣었나요?
5,1,2018년 12월 1일, 버블동산4일중에 4일동안 열리지도 않더니 오늘 다시 버블동산 2틀 열린지 한시간만에 또 안열리네..진짜 장난하냐! 아에 이벤트를 하지말던가 관리를 좀 하던가 별것도아닌게 며칠을 사람짜증나게하네
6,1,2018년 11월 28일, 모든 단계 레벨 클리어하고 게임 열리기를 기다리고 있는데 고맙게도 버블껌 동산을 4일이나 열어주네요 근데 열어주면 뭐 합니까 한판 깨서 왕좌에 올랐더만 더이상 버블껌을 할수가 없게 해놨네요 그림에 떡 ~~ 걍 짜증납니다.
7,1,2018년 12월 3일, 특별해택현금주고아이탬사서버블동산한번클리어하고계속안열려서못하고이틀을그냥보냈다 폰바꿀때도모아둔골드바랑아이탬사라지고초기화돼서복구해달라고해도안해주더만이번에도먹튀하는거냐?
8,1,2018년 12월 6일, 버블동산 뭐니?...장난치니?멘붕때리게해놓구재밌니? 리뷰는읽긴하니?이럴꺼면겜은왜만들었니?정체가뭐니??막말나오는데 참는거 알긴아니??
9,5,2018년 12월 2일, 버블동산 잼나게하고있어요.이번주는 깻는더 보상도받았고 그런데캐릭터는바뀌는데넘어가지안아서 게임을못하고있어요.왜그럴까요?
