,5,2018년 12월 6일, 단거리연애 이용하면 이용할수록 매력 터지네요 . 저 역시 솔로 지낸지 언 1년 이제는 안되겠다싶어서 이용해봤거든요 .. 근처분이나 자주 만나봐야겠다 싶어서 하루에 무조건 3시간씩은 쓴거 같네요 . 괜찮은 사람 많고 실제 만남 잘 받오보니까 단거리연애만 이용하게 되더라고요 ^^ 좋은 채팅 서비스 감사합니다g25
0,5,2018년 12월 6일, 제가 해 본 카카오 게임중에 최고입니다 댓글중에 게임 로딩 시간 고치라 이런거 있는데 원래 8인에서 게임하면 기다려야하는게 정상 아닌가요?? 핸드폰 기종마다 속도가 2619 다른건 당연한건데.. 그리고 현질 안하고도 업적달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는거같아요 ^^
1,1,2018년 12월 5일, 열심히 달려서 4077점에 위치한 유저입니다. 몇개월간 쉬고 하고를 반복하다가 복귀 오늘 합니다. 근데 레벨 평준화를 해도 사기인 놈은 사기고 픽률낮은거는 패치나 리매매이크도 않하고 점점 과금 유도등 너무 게임이 썩고 있어요 잘 합시다 슈퍼셀
2,5,2018년 12월 5일, 클래시로얄 정말 재미있게 플레이 하고 있습니다. 다음 업데이트때 이런기능 추가해주시면 좋겠습니다. 상점 새로고침이라는 기능으로 상점에 원하는 카드가 안나올시 보석 10개정도로 하여 하루에 최대 1회까지 가능하게 하여 처음에 상점에 나온 카드들 이외 다른카드들을 상점에 나오도록 해주시면 감사합니다
3,5,2018년 12월 6일, 이번 12월4일 업데이트이후로 게임을 한판 할때마다 계속 팅기는 현상이 발생해 불이익을 받고 있습니다. 저 뿐만 아니라 다수가 겪고 있는 일이니 최대한 빨리 고쳐주시길 바라겠습니다.
4,5,2018년 12월 5일, 출시때부터 꾸준히 하고있는 게임입니다. 밸런스가 무너지지않게 신규카드 출시시에만 조금 신경써주시면좋을것같아요. 웬만하면 레벨이 같은 유저들과 매칭이 될 수 있게 해주세요.
5,1,2018년 12월 6일, 게임안에카드등급을왜만든거냐..ㅡㅡ 1vs1전투에서 비슷한레벨을만나게한거는만족함 허나 나는일반카드13렙감전하나인데 상대는 일법과 메가나이트5렙임 이것은 게임안에서만나는상대매칭이 레벨로만난다는것인데 내가카드하나만 레벨을 올려두었다고 상대는 전설만렙을몇장씩 가져오는데 이럴거면 카드에등급을없애는것이맞는것이라고본다 다일반카드면 누구나쉽게 만렙을찍을수있도록 등급을없애는것이 밸런스조절에 확실한방법이라고봄
6,3,2018년 12월 5일, 업뎃 전이 더 좋은 것 같음. 보석으로 닉변하는거 기대햇는데 500개.. 너무한 것 같음. 왜냐하면 보석 모으기가 힘듦. 클래시오브클랜은 장애물같은거 부수거나 하면 빨리 모이는데 클래시로얄는 달라서.. 클래시오브클랜이랑 보석 값어치가 같은 것이 이해가 되질 않음. 클래시로얄는 퀘스트 등을 통해서 보석을 모을 수 있으면 좋을 것 같음. 퀘스트가 어려워도 상관 없음. 무과금 유저들도 모든 유저랑 신나게 즐길 수 있었으면 좋겠음. 반면에 그래픽이 좋고 플레이 하는 것은 재미있음.
7,4,2018년 12월 5일, 안녕하세요.클래시 로얄을 아주 좋아하고 재미있게 플레이 하는 유저입니다. 클래시 로얄을 실수로 지워서 다시 설치하고 들어갔더니 서버점검이 있었습니다.서버점검을 다 하고 들어가니 로얄 뉴스가 뜨고 다시시도 버튼이 있었습니다.다시시도를 눌렀더니 50%까지 로딩이 되고 다시 로얄 뉴스가 뜨고 계속 반복되는 버그가 있습니다. 그래서 클래시 로얄 을 플레이 못 하게 됬습니다. 이버그를 최대한 빨리 수정해 주세요
8,1,2018년 12월 5일, 2년동안 재밌게 하다가 방금 업데이트하고나서 상위권 플레이어들 실시간 플레이하는거 보니 지들끼리 짜고 치는 플레이 잘 봤습니다. 게임이 흥 안한 이유가 여기 있었네요. 잘 즐겼습니다 짜고치는플레이들
9,5,2018년 12월 5일, 정재원님 님이 미니패카를 잘못놓아서 진걸 어떻하랍니까. 미니패카를 놓는데에도 다 컨트롤하고 타이밍을 잘맟춰야합니다. 그리고 마녀함테붙은이유는 마녀가 소환한 해골병사를 따라가 마녀한테 붙은거지요 그때동안 자이언트는 지나가고 님이못하는걸 어떻하란말입니까. 잘생각해보고 말하세요..
