,1,2018년 12월 1일, 왜 이렇게 랙이 걸리죠.. 새롭게 업뎃하더니 눌렀는데 안가서 부딫치고 안눌렀는데 자동으로 가서 부딫쳐요...
0,5,2018년 12월 1일, 제가 미션 30번쩨까지 완료 했더니 다이아몬드금고가 열렷어요.
1,1,2018년 12월 4일, 와 게임을 이따구로 왜만들어 시작하려고 들어가면 다시 렉걸려서 처음으로 돌아가는데 ㅎ
2,3,2018년 12월 2일, 몰라요...잘...좀지루하네요금고여는시간좀줄여주세요
3,5,2018년 12월 4일, 오우!!토킹톰 골드런 넘나 재미있어용~~♥
4,1,2018년 12월 1일, 얼른 눈오는 모드로 업데이트 하세요.
5,5,2018년 12월 2일, 애기들 오락인줄 알았는데 겁나 어렵네ㅠㅠ
6,1,2018년 12월 2일, 저는 오른쪽으로 갈려고 오른쪽으로 드래그 했는데 왜 점프를 하나요?
7,4,2018년 12월 2일, 이거하니깐 시간 가는줄 모르네요 그정도로 재미있어욤~😁
8,1,2018년 12월 2일, 옆이로 넘겼는데 안 넘어가요
9,5,2018년 12월 3일, 왕 최고 최고 완전 최고 내가 좋아하는 톰 골드런 내가 제일 좋아하는 게임은 톰 골드런
