,star,date,review
,5,2018년 11월 18일," 재밌습니다. 처음에 영어라서 놀랐는데, 리뷰들 보니 설정에 한국어로 바꿀 수 있다 하여 바꾸고 플레이 해보니 재미있네요. 설정에 가시면 바꾸실 수 있으니 바꿔보시고 플레이해보세요. 모르면서 조사해보지도 않고 악플다시는 당신들 안부끄럽습니까?"
0,4,2018년 11월 22일, 재밌긴 한데 사람 기절하면 (죽으면) 시체로 그려두지 말고 화면에서 사라지게 하면 좋겠어요 물론 게임이지만 무섭기도 해요. 그리고 여기 한국어 없다고들 하시는데 설정(망치 외 도구모양)버튼 누르고 위에 3개 버튼중에 2번째 눌러서 언어 조절할수 있어요!! 그걸로 한국어 선택하시면 됩니당:) 즐겜하세용
1,4,2018년 12월 2일, 스팀피씨를 즐겨하다가 모바일 세일해서 구매했는데 거의 비슷해서 좋네요. 단점은 피씨는 시나리오가 많은데...모바일은 아직 군인엔딩만 있는듯합니다 ㅜㅜ 좀더 많은 엔딩이 필요해요
2,4,2018년 11월 21일, 할인할때 싸게 구매하여 매우 만족중입니다. 하지만 초반 방공호로 들어가기전 템파밍때 조작이 너무 불편합니다. 터치를해도 템이 주워지지도 않고...
3,1,2018년 11월 11일, 야 내가 영.알.못인데 '이제 한국어있다' 이러길레 현질했는데 뭐? 영어? 진짜 죽고싶냐 환불안하면 비정상에 개발자 찾아감 ㅅㄱ
4,1,2018년 11월 25일, 아니 내가운이없는건 안다치는데요.. 어떻게 5판연속으로10 일이 되기전에 모두병걸리리고 질병다치미침...등으로5개가 생겨요? 밸런스조절좀
5,3,2018년 11월 16일, 앞으로 컨트롤를 하는데 가자기 멈추고 속도가 와전히 느리고 물건이 잘 안주워져요. 그리고 렉과 버그가 잘이러나고 1개가 없어졌을때 1~4가 없어져요 빨리 고쳐주세요 그리고 그래픽도 높여주세요
6,1,2018년 11월 20일, 게임이 플레이가 안됩니다; 게임 초반부에 파밍하는 60초 있잖아요..물건 줍고 가족 챙기는 부분.. 그 부분이 가동이 안 되는 것 같아요.. 방공호 생활만 하는 모드만 제대로 할 수 있네요..ㅠ
7,2,2018년 11월 24일, 깨나 많은 게임들을 플레이 했지만 이 게임 보다 쓰레기 같은 조작감을 가진 게임을 플레이한 기억이 없는 듯. 갤럭시S9+ 사용중인데도 굉장히 높은 확률로 60초동안의 아이템 수집을 마치고 방공호로 들어갈 때 흰화면에서 다음 화면으로 넘어가지도 않음. 데스크탑 게임을 모바일로 옮길 때 이게임보다 완성도 없이 옮긴 게임이 있을까 합니다.
8,5,2018년 11월 17일, 한글 옵션가서 변경하면 잘 번역되어있고 영상보기만하고 폰으로 시작해서 조작감힘들지만 적응하면될거 같고 자주할것도 아닌데 할인했을때 구매해서 과자한봉지값 보다 싸게삼 2~3번 하면질릴수있으나 심심할때 하기 좋음 할인할때 노려구매하면 좋을듯
